imu,server_time,arduino_time,ax,ay,az,gx,gy,gz,mx,my,mz
0,2021-09-03T16:17:54.919790,2537373,-184,2254,-542,-1063,1708,-115,71,245,-447
0,2021-09-03T16:17:54.931017,2537383,-184,2254,-542,-1063,1708,-115,71,245,-447
0,2021-09-03T16:17:54.940068,2537395,-177,2256,-541,-1054,1697,-125,71,245,-447
0,2021-09-03T16:17:54.949649,2537403,-177,2256,-541,-1054,1697,-125,71,245,-447
0,2021-09-03T16:17:54.959681,2537413,-173,2254,-538,-1053,1681,-122,71,245,-447
0,2021-09-03T16:17:54.968897,2537422,-173,2254,-538,-1053,1681,-122,71,245,-447
0,2021-09-03T16:17:54.977101,2537433,-170,2254,-529,-1042,1661,-125,71,249,-443
0,2021-09-03T16:17:54.986437,2537440,-170,2254,-529,-1042,1661,-125,71,249,-443
0,2021-09-03T16:17:54.996973,2537450,-170,2254,-529,-1042,1661,-125,71,249,-443
0,2021-09-03T16:17:55.005701,2537460,-171,2251,-523,-1054,1648,-128,71,249,-443
0,2021-09-03T16:17:55.015277,2537468,-171,2251,-523,-1054,1648,-128,71,249,-443
0,2021-09-03T16:17:55.027061,2537479,-164,2251,-521,-1060,1636,-129,71,249,-443
0,2021-09-03T16:17:55.036089,2537490,-164,2251,-521,-1060,1636,-129,71,249,-443
0,2021-09-03T16:17:55.045363,2537499,-162,2251,-516,-1058,1620,-126,71,249,-443
0,2021-09-03T16:17:55.053180,2537508,-162,2251,-516,-1058,1620,-126,71,249,-443
0,2021-09-03T16:17:55.061487,2537517,-162,2251,-516,-1058,1620,-126,71,249,-443
0,2021-09-03T16:17:55.070433,2537525,-162,2251,-516,-1058,1620,-126,71,249,-443
0,2021-09-03T16:17:55.079598,2537534,-158,2249,-508,-1056,1591,-134,71,249,-443
0,2021-09-03T16:17:55.087106,2537542,-158,2249,-508,-1056,1591,-134,71,249,-443
0,2021-09-03T16:17:55.095453,2537550,-158,2249,-508,-1056,1591,-134,71,249,-443
0,2021-09-03T16:17:55.104213,2537559,-154,2251,-508,-1061,1575,-137,71,249,-443
