imu,server_time,arduino_time,ax,ay,az,gx,gy,gz,mx,my,mz
2,2021-09-03T16:20:31.586606,2694042,-3270,619,1472,-166,-225,-82,-88,198,-18
2,2021-09-03T16:20:31.597476,2694056,-3270,619,1472,-166,-225,-82,-88,198,-18
2,2021-09-03T16:20:31.610282,2694068,-3266,615,1472,-161,-225,-79,-88,198,-18
2,2021-09-03T16:20:31.623737,2694080,-3266,615,1472,-161,-225,-79,-88,198,-18
2,2021-09-03T16:20:31.636758,2694094,-3267,615,1470,-166,-225,-86,-88,198,-18
2,2021-09-03T16:20:31.647590,2694107,-3266,618,1462,-170,-220,-86,-83,195,-13
2,2021-09-03T16:20:31.660379,2694118,-3266,618,1462,-170,-220,-86,-83,195,-13
2,2021-09-03T16:20:31.673902,2694130,-3266,616,1473,-169,-214,-84,-83,195,-13
2,2021-09-03T16:20:31.685989,2694145,-3266,619,1467,-165,-217,-80,-83,195,-13
2,2021-09-03T16:20:31.699876,2694156,-3266,619,1467,-165,-217,-80,-83,195,-13
2,2021-09-03T16:20:31.708049,2694170,-3268,620,1470,-165,-217,-76,-83,195,-13
2,2021-09-03T16:20:31.717037,2694178,-3268,620,1470,-165,-217,-76,-83,195,-13
2,2021-09-03T16:20:31.725756,2694188,-3269,620,1473,-166,-226,-86,-83,195,-13
2,2021-09-03T16:20:31.733480,2694196,-3269,620,1473,-166,-226,-86,-83,195,-13
2,2021-09-03T16:20:31.741254,2694204,-3266,621,1473,-173,-222,-90,-83,195,-13
2,2021-09-03T16:20:31.749395,2694211,-3266,621,1473,-173,-222,-90,-83,195,-13
2,2021-09-03T16:20:31.757369,2694219,-3266,621,1473,-173,-222,-90,-83,195,-13
2,2021-09-03T16:20:31.762959,2694227,-3269,617,1469,-165,-222,-80,-83,195,-13
2,2021-09-03T16:20:31.768215,2694233,-3269,617,1469,-165,-222,-80,-83,195,-13
2,2021-09-03T16:20:31.773662,2694239,-3269,617,1469,-165,-222,-80,-83,195,-13
2,2021-09-03T16:20:31.779616,2694244,-3265,615,1472,-162,-230,-83,-81,197,-27
2,2021-09-03T16:20:31.784924,2694250,-3265,615,1472,-162,-230,-83,-81,197,-27
2,2021-09-03T16:20:31.790074,2694255,-3265,615,1472,-162,-230,-83,-81,197,-27
2,2021-09-03T16:20:31.795548,2694260,-3265,615,1472,-162,-230,-83,-81,197,-27
2,2021-09-03T16:20:31.801854,2694265,-3269,617,1470,-170,-230,-79,-81,197,-27
2,2021-09-03T16:20:31.807958,2694272,-3269,617,1470,-170,-230,-79,-81,197,-27
2,2021-09-03T16:20:31.814298,2694278,-3269,617,1470,-170,-230,-79,-81,197,-27
