imu,server_time,arduino_time,ax,ay,az,gx,gy,gz,mx,my,mz
2,2021-09-03T16:42:36.988836,4019505,-2389,422,1379,249,-165,3567,152,256,36
2,2021-09-03T16:42:36.998785,4019516,-2389,422,1379,249,-165,3567,152,256,36
2,2021-09-03T16:42:37.009110,4019526,-2387,447,1402,257,-158,3564,143,271,31
2,2021-09-03T16:42:37.019450,4019536,-2387,447,1402,257,-158,3564,143,271,31
2,2021-09-03T16:42:37.027632,4019547,-2388,452,1392,249,-164,3561,143,271,31
2,2021-09-03T16:42:37.035569,4019555,-2388,452,1392,249,-164,3561,143,271,31
2,2021-09-03T16:42:37.046233,4019562,-2388,452,1392,249,-164,3561,143,271,31
2,2021-09-03T16:42:37.054237,4019573,-2394,451,1384,254,-158,3569,143,271,31
2,2021-09-03T16:42:37.062403,4019581,-2394,451,1384,254,-158,3569,143,271,31
2,2021-09-03T16:42:37.071905,4019590,-2384,429,1392,257,-160,3563,143,271,31
2,2021-09-03T16:42:37.081269,4019599,-2384,429,1392,257,-160,3563,143,271,31
2,2021-09-03T16:42:37.090825,4019608,-2390,437,1389,264,-164,3568,143,271,31
2,2021-09-03T16:42:37.098151,4019617,-2390,437,1389,264,-164,3568,143,271,31
2,2021-09-03T16:42:37.107161,4019625,-2389,441,1386,260,-162,3571,143,271,31
2,2021-09-03T16:42:37.115555,4019635,-2389,441,1386,260,-162,3571,143,271,31
2,2021-09-03T16:42:37.124549,4019643,-2389,441,1386,260,-162,3571,143,271,31
2,2021-09-03T16:42:37.133145,4019652,-2393,437,1380,251,-154,3572,134,266,34
2,2021-09-03T16:42:37.141919,4019660,-2393,437,1380,251,-154,3572,134,266,34
2,2021-09-03T16:42:37.149394,4019668,-2385,411,1395,256,-162,3565,134,266,34
2,2021-09-03T16:42:37.157801,4019677,-2385,411,1395,256,-162,3565,134,266,34
2,2021-09-03T16:42:37.167639,4019685,-2384,393,1396,258,-158,3565,134,266,34
2,2021-09-03T16:42:37.174771,4019694,-2384,393,1396,258,-158,3565,134,266,34
2,2021-09-03T16:42:37.182315,4019701,-2384,393,1396,258,-158,3565,134,266,34
2,2021-09-03T16:42:37.189887,4019709,-2383,409,1387,255,-169,3571,134,266,34
2,2021-09-03T16:42:37.197550,4019717,-2383,409,1387,255,-169,3571,134,266,34
2,2021-09-03T16:42:37.206969,4019725,-2384,416,1379,254,-162,3573,134,266,34
2,2021-09-03T16:42:37.214633,4019734,-2384,416,1379,254,-162,3573,134,266,34
2,2021-09-03T16:42:37.224014,4019741,-2384,416,1379,254,-162,3573,134,266,34
2,2021-09-03T16:42:37.233112,4019750,-2378,402,1392,263,-153,3581,134,266,34
2,2021-09-03T16:42:37.240461,4019760,-2378,402,1392,263,-153,3581,134,266,34
2,2021-09-03T16:42:37.248906,4019768,-2378,409,1398,258,-157,3576,128,274,26
2,2021-09-03T16:42:37.256684,4019776,-2378,409,1398,258,-157,3576,128,274,26
2,2021-09-03T16:42:37.265832,4019783,-2383,414,1387,255,-172,3576,128,274,26
2,2021-09-03T16:42:37.274564,4019792,-2383,414,1387,255,-172,3576,128,274,26
2,2021-09-03T16:42:37.281978,4019802,-2383,414,1387,255,-172,3576,128,274,26
2,2021-09-03T16:42:37.289622,4019809,-2383,426,1376,258,-162,3582,128,274,26
2,2021-09-03T16:42:37.298416,4019817,-2383,426,1376,258,-162,3582,128,274,26
