imu,server_time,arduino_time,ax,ay,az,gx,gy,gz,mx,my,mz
2,2021-09-03T16:50:25.729704,4488266,-2989,-226,1479,158,-134,3021,62,224,2
2,2021-09-03T16:50:25.740681,4488276,-2989,-226,1479,158,-134,3021,62,224,2
2,2021-09-03T16:50:25.749289,4488288,-2980,-220,1485,159,-129,3010,54,224,8
2,2021-09-03T16:50:25.757708,4488296,-2980,-220,1485,159,-129,3010,54,224,8
2,2021-09-03T16:50:25.765624,4488305,-2995,-213,1478,163,-131,2992,54,224,8
2,2021-09-03T16:50:25.772596,4488312,-2995,-213,1478,163,-131,2992,54,224,8
2,2021-09-03T16:50:25.779759,4488320,-2995,-213,1478,163,-131,2992,54,224,8
2,2021-09-03T16:50:25.787248,4488327,-2996,-207,1479,157,-130,2974,54,224,8
2,2021-09-03T16:50:25.794550,4488335,-2996,-207,1479,157,-130,2974,54,224,8
2,2021-09-03T16:50:25.801760,4488341,-2991,-204,1471,155,-134,2971,54,224,8
2,2021-09-03T16:50:25.809078,4488349,-2991,-204,1471,155,-134,2971,54,224,8
2,2021-09-03T16:50:25.815975,4488356,-2991,-204,1471,155,-134,2971,54,224,8
2,2021-09-03T16:50:25.824848,4488364,-2987,-201,1479,163,-134,2955,54,224,8
2,2021-09-03T16:50:25.834932,4488372,-2987,-201,1479,163,-134,2955,54,224,8
2,2021-09-03T16:50:25.842990,4488382,-2997,-197,1477,159,-133,2947,54,224,8
2,2021-09-03T16:50:25.851590,4488390,-2997,-197,1477,159,-133,2947,54,224,8
2,2021-09-03T16:50:25.860781,4488398,-2997,-197,1477,159,-133,2947,54,224,8
2,2021-09-03T16:50:25.868629,4488408,-3002,-188,1478,157,-138,2942,53,217,-1
2,2021-09-03T16:50:25.877579,4488416,-3002,-188,1478,157,-138,2942,53,217,-1
2,2021-09-03T16:50:25.886943,4488425,-3000,-191,1485,154,-135,2930,53,217,-1
2,2021-09-03T16:50:25.894192,4488434,-3000,-191,1485,154,-135,2930,53,217,-1
2,2021-09-03T16:50:25.903750,4488441,-2996,-183,1475,145,-139,2923,53,217,-1
2,2021-09-03T16:50:25.912714,4488451,-2996,-183,1475,145,-139,2923,53,217,-1
2,2021-09-03T16:50:25.921451,4488460,-2996,-183,1475,145,-139,2923,53,217,-1
2,2021-09-03T16:50:25.929609,4488469,-2995,-180,1473,150,-140,2906,53,217,-1
2,2021-09-03T16:50:25.937262,4488476,-2995,-180,1473,150,-140,2906,53,217,-1
2,2021-09-03T16:50:25.946109,4488484,-2994,-174,1472,151,-141,2904,53,217,-1
2,2021-09-03T16:50:25.954560,4488493,-2994,-174,1472,151,-141,2904,53,217,-1
2,2021-09-03T16:50:25.962668,4488502,-2990,-176,1472,141,-136,2884,53,217,-1
2,2021-09-03T16:50:25.969842,4488510,-2990,-176,1472,141,-136,2884,53,217,-1
2,2021-09-03T16:50:25.978591,4488517,-2990,-176,1472,141,-136,2884,53,217,-1
2,2021-09-03T16:50:25.986652,4488525,-2976,-168,1475,145,-139,2865,53,217,-1
2,2021-09-03T16:50:25.995484,4488534,-2976,-168,1475,145,-139,2865,53,217,-1
