imu,server_time,arduino_time,ax,ay,az,gx,gy,gz,mx,my,mz
0,2021-07-06 12:25:12.129058,0,2186,9,-805,-1064,-561,-355,0,0,0
0,2021-07-06 12:25:12.142286,13,2185,18,-803,-1055,-567,-353,0,0,0
0,2021-07-06 12:25:12.156798,27,2185,18,-803,-1055,-567,-353,0,0,0
0,2021-07-06 12:25:12.167644,38,2186,15,-806,-1054,-565,-354,0,0,0
0,2021-07-06 12:25:12.179012,49,2186,15,-806,-1054,-565,-354,0,0,0
0,2021-07-06 12:25:12.192613,63,2186,15,-806,-1054,-565,-354,0,0,0
0,2021-07-06 12:25:12.205950,76,2182,20,-808,-1062,-561,-351,0,0,0
0,2021-07-06 12:25:12.218522,89,2182,20,-808,-1062,-561,-351,0,0,0
0,2021-07-06 12:25:12.229663,100,2185,17,-808,-1071,-565,-359,0,0,0
0,2021-07-06 12:25:12.239658,110,2185,15,-800,-1066,-564,-356,0,0,0
0,2021-07-06 12:25:12.251963,122,2185,15,-800,-1066,-564,-356,0,0,0
0,2021-07-06 12:25:12.265377,136,2183,12,-804,-1063,-562,-359,0,0,0
0,2021-07-06 12:25:12.279072,150,2183,12,-804,-1063,-562,-359,0,0,0
0,2021-07-06 12:25:12.286934,157,2184,14,-807,-1060,-559,-363,0,0,0
0,2021-07-06 12:25:12.294256,165,2184,14,-807,-1060,-559,-363,0,0,0
0,2021-07-06 12:25:12.303203,174,2185,15,-805,-1053,-559,-362,0,0,0
0,2021-07-06 12:25:12.311222,182,2185,15,-805,-1053,-559,-362,0,0,0
0,2021-07-06 12:25:12.316888,187,2186,19,-803,-1068,-560,-356,0,0,0
0,2021-07-06 12:25:12.323913,194,2186,19,-803,-1068,-560,-356,0,0,0
0,2021-07-06 12:25:12.329629,200,2186,19,-803,-1068,-560,-356,0,0,0
0,2021-07-06 12:25:12.335771,206,2186,16,-806,-1059,-552,-357,0,0,0
0,2021-07-06 12:25:12.341183,212,2186,16,-806,-1059,-552,-357,0,0,0
0,2021-07-06 12:25:12.347444,218,2186,16,-806,-1059,-552,-357,0,0,0
0,2021-07-06 12:25:12.352663,223,2186,16,-806,-1059,-552,-357,0,0,0
0,2021-07-06 12:25:12.358140,229,2186,15,-798,-1054,-567,-362,0,0,0
0,2021-07-06 12:25:12.363862,234,2186,15,-798,-1054,-567,-362,0,0,0
0,2021-07-06 12:25:12.368998,239,2186,15,-798,-1054,-567,-362,0,0,0
0,2021-07-06 12:25:12.377748,248,2186,15,-798,-1054,-567,-362,0,0,0
0,2021-07-06 12:25:12.386124,257,2185,14,-798,-1056,-563,-356,0,0,0
0,2021-07-06 12:25:12.395146,266,2185,14,-798,-1056,-563,-356,0,0,0
0,2021-07-06 12:25:12.404870,275,2183,14,-806,-1056,-554,-355,0,0,0
0,2021-07-06 12:25:12.412596,283,2183,14,-806,-1056,-554,-355,0,0,0
0,2021-07-06 12:25:12.420399,291,2182,18,-805,-1062,-561,-355,0,0,0
0,2021-07-06 12:25:12.428521,299,2182,18,-805,-1062,-561,-355,0,0,0
0,2021-07-06 12:25:12.437048,307,2182,18,-805,-1062,-561,-355,0,0,0
0,2021-07-06 12:25:12.444840,315,2184,14,-808,-1067,-563,-355,0,0,0
0,2021-07-06 12:25:12.454775,325,2184,14,-808,-1067,-563,-355,0,0,0
0,2021-07-06 12:25:12.466119,337,2184,11,-806,-1064,-558,-355,0,0,0
0,2021-07-06 12:25:12.474718,345,2184,11,-806,-1064,-558,-355,0,0,0
0,2021-07-06 12:25:12.484613,355,2185,15,-807,-1056,-559,-354,0,0,0
0,2021-07-06 12:25:12.494654,365,2185,15,-807,-1056,-559,-354,0,0,0
0,2021-07-06 12:25:12.503684,374,2184,14,-803,-1057,-557,-360,0,0,0
0,2021-07-06 12:25:12.511499,382,2184,14,-803,-1057,-557,-360,0,0,0
