File:	06_07_21_blt.pgc

Блок 1
Title:	
ADC:	E-140
Started:	01.01.2001 3:28:50
Channels:	3
Rate:	200
Step:	0.005
Duration:	505.835
Size:	101168
Время, s	Nx	Ny	Nz
0	-0.5051	0.0837	-0.0075
0.005	-0.5038	0.0824	-0.0087
0.01	-0.5038	0.0824	-0.0087
0.015	-0.5051	0.0812	-0.01
0.02	-0.5051	0.0824	-0.0075
0.025	-0.5051	0.0824	-0.0087
0.03	-0.5038	0.085	-0.0087
0.035	-0.5051	0.0824	-0.0087
0.04	-0.5051	0.0824	-0.0075
0.045	-0.5038	0.0837	-0.0087
0.05	-0.5038	0.0824	-0.0087
0.055	-0.5038	0.0812	-0.0087
0.06	-0.5038	0.0824	-0.01
0.065	-0.5038	0.0824	-0.0087
0.07	-0.5038	0.0837	-0.0087
0.075	-0.5038	0.0812	-0.01
0.08	-0.5038	0.0824	-0.0075
0.085	-0.5025	0.0837	-0.0075
0.09	-0.5051	0.0824	-0.0075
0.095	-0.5038	0.0824	-0.0087
0.1	-0.5038	0.0824	-0.0062
0.105	-0.5038	0.0824	-0.0087
0.11	-0.5038	0.0824	-0.0075
0.115	-0.5051	0.0824	-0.01
0.12	-0.5038	0.0824	-0.0075
0.125	-0.5051	0.0812	-0.0087
0.13	-0.5038	0.0837	-0.0075
0.135	-0.5038	0.0812	-0.0075
0.14	-0.5038	0.0824	-0.0075
0.145	-0.5051	0.0824	-0.0075
0.15	-0.5051	0.0824	-0.0075
0.155	-0.5038	0.0824	-0.0087
0.16	-0.5063	0.0837	-0.0087
0.165	-0.5063	0.0824	-0.01
0.17	-0.5038	0.0824	-0.0087
0.175	-0.5063	0.0824	-0.01
0.18	-0.5051	0.0837	-0.0062
0.185	-0.5051	0.0824	-0.0087
0.19	-0.5051	0.0812	-0.0075
0.195	-0.5038	0.0824	-0.0075
0.2	-0.5038	0.0837	-0.01
0.205	-0.5038	0.0824	-0.01
0.21	-0.5038	0.0812	-0.0087
0.215	-0.5025	0.0812	-0.0087
0.22	-0.5051	0.0824	-0.0075
0.225	-0.5051	0.0824	-0.0087
0.23	-0.5038	0.0812	-0.0087
0.235	-0.5038	0.0824	-0.01
0.24	-0.5038	0.0812	-0.0087
0.245	-0.5051	0.0812	-0.0075
0.25	-0.5038	0.0824	-0.0062
0.255	-0.5038	0.0812	-0.0087
0.26	-0.5038	0.0824	-0.0087
0.265	-0.5038	0.0824	-0.0087
0.27	-0.5038	0.0824	-0.0087
0.275	-0.5038	0.0824	-0.0087
0.28	-0.5038	0.0824	-0.0087
0.285	-0.5038	0.0824	-0.01
0.29	-0.5038	0.0812	-0.0075
0.295	-0.5038	0.0824	-0.0075
0.3	-0.5025	0.0824	-0.0075
0.305	-0.5051	0.0812	-0.0075
0.31	-0.5038	0.0824	-0.0075
0.315	-0.5038	0.0837	-0.0087
0.32	-0.5013	0.0812	-0.0087
0.325	-0.5051	0.0837	-0.0087
0.33	-0.5038	0.0837	-0.0075
0.335	-0.5038	0.0837	-0.0075
0.34	-0.5038	0.0824	-0.0075
0.345	-0.5038	0.0837	-0.0087
0.35	-0.5025	0.0812	-0.01
0.355	-0.5038	0.0812	-0.0087
0.36	-0.5025	0.0812	-0.0087
0.365	-0.5038	0.0824	-0.0075
0.37	-0.5051	0.0824	-0.0087
0.375	-0.5038	0.0812	-0.0087
0.38	-0.5051	0.0824	-0.0075
0.385	-0.5038	0.0824	-0.0087
0.39	-0.5051	0.0824	-0.0075
0.395	-0.5051	0.0824	-0.0087
0.4	-0.5051	0.0824	-0.01
0.405	-0.5025	0.0824	-0.01
0.41	-0.5038	0.0812	-0.0087
0.415	-0.5025	0.0837	-0.0087
0.42	-0.5038	0.0824	-0.0087
0.425	-0.5038	0.0824	-0.0087
0.43	-0.5051	0.0812	-0.0075
0.435	-0.5038	0.0812	-0.0075
0.44	-0.5038	0.0824	-0.0087
0.445	-0.5051	0.0824	-0.01
0.45	-0.5051	0.0824	-0.0087
0.455	-0.5038	0.0837	-0.0075
0.46	-0.5038	0.0824	-0.01
0.465	-0.5038	0.0824	-0.0062
0.47	-0.5038	0.0824	-0.0075
0.475	-0.5038	0.0824	-0.0062
0.48	-0.5038	0.0837	-0.0087
0.485	-0.5051	0.0824	-0.0087
0.49	-0.5051	0.0799	-0.01
0.495	-0.5025	0.0837	-0.0087
0.5	-0.5051	0.0837	-0.01
0.505	-0.5051	0.0824	-0.0087
0.51	-0.5038	0.0837	-0.0087
0.515	-0.5038	0.0824	-0.0087
0.52	-0.5038	0.0824	-0.01
0.525	-0.5051	0.0824	-0.0087
0.53	-0.5038	0.0812	-0.0087
0.535	-0.5051	0.0837	-0.0087
0.54	-0.5038	0.0837	-0.0087
0.545	-0.5051	0.0824	-0.0075
0.55	-0.5051	0.0799	-0.01
0.555	-0.5038	0.0824	-0.0087
0.56	-0.5051	0.0824	-0.0087
0.565	-0.5038	0.0824	-0.0087
0.57	-0.5038	0.0824	-0.01
0.575	-0.5038	0.0824	-0.0075
0.58	-0.5038	0.0837	-0.0087
0.585	-0.5051	0.0837	-0.0087
0.59	-0.5051	0.0824	-0.0062
0.595	-0.5051	0.0837	-0.0075
0.6	-0.5038	0.0812	-0.0087
0.605	-0.5038	0.0824	-0.01
0.61	-0.5025	0.0824	-0.0087
0.615	-0.5051	0.0812	-0.0087
0.62	-0.5038	0.0824	-0.0075
0.625	-0.5038	0.0824	-0.0087
0.63	-0.5038	0.0824	-0.0087
0.635	-0.5025	0.0837	-0.0087
0.64	-0.5051	0.0812	-0.0087
0.645	-0.5025	0.0812	-0.0075
0.65	-0.5051	0.0812	-0.01
0.655	-0.5038	0.0824	-0.0075
0.66	-0.5038	0.0824	-0.0087
0.665	-0.5038	0.0824	-0.0075
0.67	-0.5051	0.0812	-0.01
0.675	-0.5038	0.0837	-0.0075
0.68	-0.5038	0.0824	-0.0087
0.685	-0.5051	0.0837	-0.0075
0.69	-0.5038	0.0812	-0.0087
0.695	-0.5038	0.0812	-0.0087
0.7	-0.5051	0.0824	-0.0087
0.705	-0.5038	0.0824	-0.0087
0.71	-0.5051	0.0812	-0.0087
0.715	-0.5051	0.0824	-0.0087
0.72	-0.5051	0.0824	-0.0087
0.725	-0.5051	0.0824	-0.0075
0.73	-0.5038	0.0812	-0.01
0.735	-0.5051	0.0824	-0.0087
0.74	-0.5051	0.0824	-0.0087
0.745	-0.5038	0.0812	-0.0087
0.75	-0.5038	0.0812	-0.0087
0.755	-0.5038	0.0824	-0.0087
0.76	-0.5038	0.0812	-0.0075
0.765	-0.5038	0.0837	-0.0087
0.77	-0.5051	0.0824	-0.0087
0.775	-0.5038	0.0824	-0.0087
0.78	-0.5063	0.0837	-0.01
0.785	-0.5051	0.0824	-0.0075
0.79	-0.5038	0.0824	-0.01
0.795	-0.5038	0.0824	-0.0075
0.8	-0.5038	0.0824	-0.0087
0.805	-0.5038	0.0824	-0.0087
0.81	-0.5051	0.0824	-0.0087
0.815	-0.5038	0.0824	-0.0062
0.82	-0.5051	0.0824	-0.0087
0.825	-0.5038	0.0824	-0.0087
0.83	-0.5051	0.0824	-0.01
0.835	-0.5025	0.0824	-0.0075
0.84	-0.5051	0.0837	-0.0087
0.845	-0.5038	0.0824	-0.0075
0.85	-0.5051	0.0824	-0.01
0.855	-0.5038	0.0837	-0.0075
0.86	-0.5051	0.0824	-0.0075
0.865	-0.5063	0.0837	-0.0087
0.87	-0.5051	0.0824	-0.0075
0.875	-0.5038	0.0824	-0.0087
0.88	-0.5051	0.0824	-0.0087
0.885	-0.5063	0.0812	-0.0087
0.89	-0.5051	0.0837	-0.0087
0.895	-0.5025	0.0824	-0.0087
0.9	-0.5063	0.0824	-0.0087
0.905	-0.5051	0.0824	-0.0087
0.91	-0.5051	0.0812	-0.0075
0.915	-0.5038	0.0824	-0.0087
0.92	-0.5038	0.0824	-0.01
0.925	-0.5051	0.0837	-0.0075
0.93	-0.5038	0.0824	-0.01
0.935	-0.5038	0.0824	-0.0075
0.94	-0.5051	0.0812	-0.0087
0.945	-0.5038	0.0824	-0.0075
0.95	-0.5051	0.0824	-0.0087
0.955	-0.5051	0.0824	-0.0087
0.96	-0.5051	0.0824	-0.0087
0.965	-0.5038	0.0824	-0.0087
0.97	-0.5025	0.0824	-0.01
0.975	-0.5038	0.0837	-0.0075
0.98	-0.5038	0.0824	-0.0087
0.985	-0.5051	0.0824	-0.0075
0.99	-0.5051	0.0812	-0.0087
0.995	-0.5038	0.0824	-0.01
1	-0.5051	0.0812	-0.0075
1.005	-0.5038	0.0824	-0.0087
1.01	-0.5051	0.0824	-0.0087
1.015	-0.5051	0.0812	-0.0062
1.02	-0.5038	0.0824	-0.0075
1.025	-0.5051	0.0837	-0.0087
1.03	-0.5038	0.0837	-0.0087
1.035	-0.5038	0.0824	-0.0087
1.04	-0.5051	0.0824	-0.0075
1.045	-0.5038	0.0824	-0.0075
1.05	-0.5038	0.0812	-0.01
1.055	-0.5051	0.0824	-0.0075
1.06	-0.5051	0.0837	-0.01
