imu,server_time,arduino_time,ax,ay,az,gx,gy,gz,mx,my,mz
1,2021-07-08T11:46:07.006186,1471832,2329,1425,-598,-1488,-312,-45,179,-37,-317
1,2021-07-08T11:46:07.015817,1471841,2329,1425,-598,-1488,-312,-45,179,-37,-317
1,2021-07-08T11:46:07.025775,1471851,2331,1428,-594,-1491,-305,-43,180,-42,-314
1,2021-07-08T11:46:07.033695,1471860,2331,1428,-594,-1491,-305,-43,180,-42,-314
1,2021-07-08T11:46:07.041010,1471868,2333,1428,-599,-1492,-307,-38,180,-42,-314
1,2021-07-08T11:46:07.049496,1471876,2333,1428,-599,-1492,-307,-38,180,-42,-314
1,2021-07-08T11:46:07.057491,1471885,2333,1428,-599,-1492,-307,-38,180,-42,-314
1,2021-07-08T11:46:07.065800,1471893,2332,1428,-595,-1493,-312,-34,180,-42,-314
1,2021-07-08T11:46:07.073560,1471901,2332,1428,-595,-1493,-312,-34,180,-42,-314
1,2021-07-08T11:46:07.082330,1471908,2330,1425,-599,-1487,-311,-35,180,-42,-314
1,2021-07-08T11:46:07.090591,1471918,2330,1425,-599,-1487,-311,-35,180,-42,-314
1,2021-07-08T11:46:07.098129,1471926,2330,1425,-599,-1487,-311,-35,180,-42,-314
1,2021-07-08T11:46:07.105962,1471933,2330,1426,-599,-1491,-309,-35,180,-42,-314
1,2021-07-08T11:46:07.113295,1471941,2330,1426,-599,-1491,-309,-35,180,-42,-314
1,2021-07-08T11:46:07.120854,1471948,2332,1428,-592,-1487,-313,-38,180,-42,-314
1,2021-07-08T11:46:07.128357,1471955,2332,1428,-592,-1487,-313,-38,180,-42,-314
1,2021-07-08T11:46:07.136061,1471964,2332,1428,-592,-1487,-313,-38,180,-42,-314
1,2021-07-08T11:46:07.143416,1471971,2332,1425,-587,-1491,-308,-44,183,-45,-323
1,2021-07-08T11:46:07.151628,1471978,2332,1425,-587,-1491,-308,-44,183,-45,-323
1,2021-07-08T11:46:07.158908,1471986,2332,1425,-587,-1491,-308,-44,183,-45,-323
1,2021-07-08T11:46:07.166731,1471994,2334,1424,-594,-1489,-311,-42,183,-45,-323
1,2021-07-08T11:46:07.174272,1472002,2334,1424,-594,-1489,-311,-42,183,-45,-323
1,2021-07-08T11:46:07.182322,1472010,2330,1426,-592,-1490,-315,-42,183,-45,-323
1,2021-07-08T11:46:07.189936,1472017,2330,1426,-592,-1490,-315,-42,183,-45,-323
1,2021-07-08T11:46:07.198155,1472025,2330,1426,-592,-1490,-315,-42,183,-45,-323
1,2021-07-08T11:46:07.205928,1472033,2330,1428,-597,-1495,-308,-40,183,-45,-323
1,2021-07-08T11:46:07.214837,1472040,2330,1428,-597,-1495,-308,-40,183,-45,-323
1,2021-07-08T11:46:07.223834,1472050,2330,1426,-595,-1493,-310,-39,183,-45,-323
1,2021-07-08T11:46:07.231507,1472059,2330,1426,-595,-1493,-310,-39,183,-45,-323
1,2021-07-08T11:46:07.239180,1472066,2330,1426,-595,-1493,-310,-39,183,-45,-323
1,2021-07-08T11:46:07.246850,1472074,2329,1428,-595,-1491,-313,-37,183,-45,-323
1,2021-07-08T11:46:07.254537,1472081,2329,1428,-595,-1491,-313,-37,183,-45,-323
1,2021-07-08T11:46:07.262645,1472090,2329,1426,-596,-1487,-314,-41,176,-42,-314
1,2021-07-08T11:46:07.271092,1472098,2329,1426,-596,-1487,-314,-41,176,-42,-314
1,2021-07-08T11:46:07.278937,1472106,2329,1426,-596,-1487,-314,-41,176,-42,-314
1,2021-07-08T11:46:07.287250,1472114,2329,1426,-595,-1492,-311,-43,176,-42,-314
1,2021-07-08T11:46:07.295034,1472122,2329,1426,-595,-1492,-311,-43,176,-42,-314
1,2021-07-08T11:46:07.303218,1472130,2328,1428,-601,-1491,-309,-38,176,-42,-314
1,2021-07-08T11:46:07.311398,1472139,2328,1428,-601,-1491,-309,-38,176,-42,-314
1,2021-07-08T11:46:07.319427,1472146,2328,1428,-601,-1491,-309,-38,176,-42,-314
1,2021-07-08T11:46:07.327547,1472154,2331,1428,-594,-1495,-309,-44,176,-42,-314
1,2021-07-08T11:46:07.335637,1472162,2331,1428,-594,-1495,-309,-44,176,-42,-314
1,2021-07-08T11:46:07.344208,1472171,2333,1428,-598,-1497,-310,-40,176,-42,-314
1,2021-07-08T11:46:07.353170,1472179,2333,1428,-598,-1497,-310,-40,176,-42,-314
1,2021-07-08T11:46:07.361335,1472188,2332,1430,-592,-1497,-309,-42,176,-42,-314
1,2021-07-08T11:46:07.369556,1472196,2332,1430,-592,-1497,-309,-42,176,-42,-314
1,2021-07-08T11:46:07.377486,1472204,2332,1430,-592,-1497,-309,-42,176,-42,-314
1,2021-07-08T11:46:07.385733,1472212,2331,1425,-592,-1496,-308,-42,176,-48,-318
1,2021-07-08T11:46:07.393778,1472221,2331,1425,-592,-1496,-308,-42,176,-48,-318
1,2021-07-08T11:46:07.403147,1472229,2330,1425,-596,-1491,-308,-43,176,-48,-318
1,2021-07-08T11:46:07.411584,1472238,2330,1425,-596,-1491,-308,-43,176,-48,-318
1,2021-07-08T11:46:07.419514,1472246,2330,1425,-596,-1491,-308,-43,176,-48,-318
1,2021-07-08T11:46:07.428483,1472254,2331,1430,-592,-1492,-305,-42,176,-48,-318
1,2021-07-08T11:46:07.437073,1472264,2331,1430,-592,-1492,-305,-42,176,-48,-318
1,2021-07-08T11:46:07.445950,1472272,2327,1429,-595,-1496,-308,-46,176,-48,-318
1,2021-07-08T11:46:07.454541,1472281,2327,1429,-595,-1496,-308,-46,176,-48,-318
1,2021-07-08T11:46:07.462617,1472289,2328,1428,-598,-1491,-308,-45,176,-48,-318
1,2021-07-08T11:46:07.470577,1472297,2328,1428,-598,-1491,-308,-45,176,-48,-318
1,2021-07-08T11:46:07.478310,1472306,2328,1428,-598,-1491,-308,-45,176,-48,-318
1,2021-07-08T11:46:07.487503,1472313,2334,1426,-595,-1490,-312,-46,176,-48,-318
1,2021-07-08T11:46:07.495485,1472322,2334,1426,-595,-1490,-312,-46,176,-48,-318
1,2021-07-08T11:46:07.503564,1472330,2332,1425,-596,-1487,-312,-49,176,-48,-318
1,2021-07-08T11:46:07.511463,1472338,2332,1425,-596,-1487,-312,-49,176,-48,-318
1,2021-07-08T11:46:07.519612,1472347,2332,1425,-596,-1487,-312,-49,176,-48,-318
1,2021-07-08T11:46:07.527943,1472355,2331,1426,-586,-1491,-311,-36,176,-38,-314
1,2021-07-08T11:46:07.536477,1472363,2331,1426,-586,-1491,-311,-36,176,-38,-314
1,2021-07-08T11:46:07.544675,1472371,2328,1430,-593,-1485,-308,-39,176,-38,-314
1,2021-07-08T11:46:07.552688,1472379,2328,1430,-593,-1485,-308,-39,176,-38,-314
1,2021-07-08T11:46:07.560583,1472388,2328,1430,-593,-1485,-308,-39,176,-38,-314
