start,end
120000,124000
159490,163100
163299,166438
166600,169830
169960,173180
173300,176200
176300,179784
179900,183590
183700,187570
187640,190867
191082,194850
205000,208313
208467,211840
211990,215075
215200,218222
218364,221648
221800,224760
224924,228072
228215,232744
232887,235863
236000,239330
246600,249928
250078,253361
253509,257018
257171,260736
260913,264547
264733,267888
268021,271511
271652,274680
274808,278000
278204,281379
288731,291984
292151,295724
295873,299016
299147,303066
303198,306140
306262,309416
309620,312854
313019,316224
316364,319567
319764,322345
336466,339424
339572,343334
343492,346849
347006,350918
351061,354178
354310,357571
357733,361960
362117,365476
365606,369147
369329,372031
382651,385828
385958,388953
389082,392760
392961,396261
396423,399750
399886,403627
403770,407255
407432,411568
411698,415649
415808,418539
