imu,time,ax,ay,az,gx,gy,gz,mx,my,mz
0,2010987,2224,324,-393,-1039,-581,-332,167,57,-395
0,2010995,2225,325,-394,-1040,-578,-332,167,57,-395
0,2011004,2225,325,-394,-1040,-578,-332,167,57,-395
0,2011013,2223,325,-394,-1030,-570,-327,167,57,-395
0,2011022,2223,325,-394,-1030,-570,-327,167,57,-395
0,2011032,2223,323,-392,-1035,-571,-331,167,57,-395
0,2011039,2223,323,-392,-1035,-571,-331,167,57,-395
0,2011048,2223,323,-392,-1035,-571,-331,167,57,-395
0,2011057,2221,329,-389,-1044,-579,-321,167,57,-395
0,2011065,2221,329,-389,-1044,-579,-321,167,57,-395
0,2011072,2225,326,-391,-1030,-575,-320,167,57,-395
0,2011086,2225,326,-391,-1030,-575,-320,167,57,-395
0,2011101,2225,325,-387,-1027,-580,-333,170,62,-392
0,2011116,2224,327,-395,-1036,-574,-326,170,62,-392
0,2011130,2223,326,-389,-1032,-575,-328,170,62,-392
0,2011145,2223,326,-389,-1032,-575,-328,170,62,-392
0,2011156,2226,327,-387,-1040,-578,-331,170,62,-392
0,2011171,2223,328,-394,-1044,-575,-328,170,62,-392
0,2011186,2223,328,-394,-1044,-575,-328,170,62,-392
0,2011199,2224,326,-392,-1041,-575,-316,170,62,-392
0,2011214,2224,331,-396,-1036,-577,-332,170,60,-394
0,2011229,2224,331,-396,-1036,-577,-332,170,60,-394
0,2011237,2225,322,-399,-1034,-572,-320,170,60,-394
0,2011248,2225,322,-399,-1034,-572,-320,170,60,-394
0,2011262,2224,325,-395,-1039,-575,-325,170,60,-394
0,2011278,2224,324,-395,-1027,-578,-325,170,60,-394
0,2011293,2223,325,-392,-1030,-576,-324,170,60,-394
0,2011309,2223,325,-392,-1030,-576,-324,170,60,-394
0,2011323,2226,325,-395,-1028,-569,-332,170,60,-394
0,2011336,2227,325,-392,-1022,-573,-331,170,60,-394
0,2011352,2224,326,-388,-1028,-570,-332,167,53,-397
0,2011367,2224,326,-388,-1028,-570,-332,167,53,-397
0,2011383,2221,324,-388,-1031,-574,-333,167,53,-397
0,2011399,2227,325,-390,-1039,-579,-330,167,53,-397
0,2011413,2222,328,-391,-1037,-576,-332,167,53,-397
0,2011424,2222,328,-391,-1037,-576,-332,167,53,-397
0,2011438,2225,324,-396,-1023,-567,-323,167,53,-397
0,2011452,2228,325,-398,-1023,-570,-330,167,53,-397
0,2011466,2228,325,-398,-1023,-570,-330,167,53,-397
0,2011481,2225,328,-386,-1033,-569,-327,170,60,-396
0,2011494,2224,326,-393,-1038,-574,-331,170,60,-396
0,2011505,2224,326,-393,-1038,-574,-331,170,60,-396
0,2011520,2226,326,-386,-1035,-571,-326,170,60,-396
0,2011537,2222,326,-391,-1041,-580,-325,170,60,-396
0,2011553,2223,326,-394,-1045,-579,-321,170,60,-396
0,2011569,2223,326,-394,-1045,-579,-321,170,60,-396
0,2011585,2223,326,-395,-1028,-576,-329,170,60,-396
0,2011600,2226,324,-389,-1031,-581,-330,170,60,-396
0,2011615,2222,324,-392,-1042,-578,-329,167,59,-397
0,2011628,2222,324,-392,-1042,-578,-329,167,59,-397
0,2011643,2223,323,-388,-1034,-577,-335,167,59,-397
0,2011658,2226,324,-394,-1041,-569,-334,167,59,-397
0,2011672,2224,327,-395,-1041,-577,-332,167,59,-397
0,2011686,2224,327,-395,-1041,-577,-332,167,59,-397
0,2011695,2225,322,-398,-1042,-577,-329,167,59,-397
0,2011703,2225,322,-398,-1042,-577,-329,167,59,-397
0,2011711,2227,326,-388,-1032,-572,-330,167,59,-397
0,2011718,2227,326,-388,-1032,-572,-330,167,59,-397
0,2011726,2227,326,-388,-1032,-572,-330,167,59,-397
0,2011735,2228,324,-390,-1034,-571,-330,170,62,-392
0,2011741,2228,324,-390,-1034,-571,-330,170,62,-392
0,2011747,2228,324,-390,-1034,-571,-330,170,62,-392
0,2011753,2226,328,-393,-1031,-577,-324,170,62,-392
0,2011759,2226,328,-393,-1031,-577,-324,170,62,-392
0,2011764,2226,328,-393,-1031,-577,-324,170,62,-392
0,2011771,2224,321,-389,-1031,-583,-327,170,62,-392
0,2011778,2224,321,-389,-1031,-583,-327,170,62,-392
0,2011784,2224,321,-389,-1031,-583,-327,170,62,-392
0,2011790,2224,321,-389,-1031,-583,-327,170,62,-392
0,2011796,2226,325,-386,-1030,-573,-332,170,62,-392
0,2011802,2226,325,-386,-1030,-573,-332,170,62,-392
0,2011808,2226,325,-386,-1030,-573,-332,170,62,-392
0,2011814,2225,325,-392,-1032,-578,-325,170,62,-392
0,2011822,2225,325,-392,-1032,-578,-325,170,62,-392
0,2011827,2225,325,-392,-1032,-578,-325,170,62,-392
0,2011832,2224,324,-399,-1033,-572,-326,170,62,-392
0,2011837,2224,324,-399,-1033,-572,-326,170,62,-392
0,2011842,2224,324,-399,-1033,-572,-326,170,62,-392
0,2011849,2224,324,-399,-1033,-572,-326,170,62,-392
0,2011856,2225,326,-393,-1040,-574,-330,176,50,-398
0,2011863,2225,326,-393,-1040,-574,-330,176,50,-398
0,2011870,2225,326,-393,-1040,-574,-330,176,50,-398
0,2011876,2226,327,-391,-1037,-573,-330,176,50,-398
0,2011882,2226,327,-391,-1037,-573,-330,176,50,-398
0,2011897,2226,324,-392,-1033,-574,-320,176,50,-398
0,2011910,2226,324,-392,-1033,-574,-320,176,50,-398
0,2011923,2223,325,-390,-1031,-576,-327,176,50,-398
0,2011931,2226,326,-394,-1030,-576,-330,176,50,-398
0,2011941,2226,326,-394,-1030,-576,-330,176,50,-398
0,2011956,2224,324,-399,-1038,-573,-326,176,50,-398
0,2011970,2224,324,-399,-1038,-573,-326,176,50,-398
0,2011979,2223,327,-396,-1034,-568,-323,176,50,-398
0,2011991,2223,327,-396,-1034,-568,-323,176,50,-398
0,2011999,2224,324,-386,-1035,-573,-333,169,57,-391
0,2012007,2224,324,-386,-1035,-573,-333,169,57,-391
0,2012014,2224,326,-390,-1033,-572,-332,169,57,-391
