imu,time,ax,ay,az,gx,gy,gz,mx,my,mz
1,6131403,423,-1365,-495,-1484,-306,-38,445,167,-229
1,6131417,423,-1365,-495,-1484,-306,-38,445,167,-229
1,6131424,423,-1368,-484,-1484,-298,-35,436,164,-224
1,6131432,423,-1368,-484,-1484,-298,-35,436,164,-224
1,6131443,421,-1365,-494,-1485,-302,-35,436,164,-224
1,6131452,421,-1365,-494,-1485,-302,-35,436,164,-224
1,6131461,421,-1365,-494,-1485,-302,-35,436,164,-224
1,6131469,422,-1363,-489,-1485,-303,-41,436,164,-224
1,6131477,422,-1363,-489,-1485,-303,-41,436,164,-224
1,6131485,422,-1363,-490,-1477,-299,-37,436,164,-224
1,6131492,422,-1363,-490,-1477,-299,-37,436,164,-224
1,6131500,422,-1363,-490,-1477,-299,-37,436,164,-224
1,6131508,423,-1365,-490,-1487,-303,-41,436,164,-224
1,6131515,423,-1365,-490,-1487,-303,-41,436,164,-224
1,6131523,425,-1366,-495,-1481,-302,-39,436,164,-224
1,6131530,425,-1366,-495,-1481,-302,-39,436,164,-224
1,6131538,425,-1366,-495,-1481,-302,-39,436,164,-224
1,6131546,424,-1364,-490,-1488,-304,-42,433,165,-223
1,6131553,424,-1364,-490,-1488,-304,-42,433,165,-223
1,6131561,424,-1364,-490,-1488,-304,-42,433,165,-223
1,6131568,426,-1363,-490,-1485,-309,-42,433,165,-223
1,6131576,426,-1363,-490,-1485,-309,-42,433,165,-223
1,6131588,424,-1364,-487,-1489,-301,-44,433,165,-223
1,6131596,424,-1364,-487,-1489,-301,-44,433,165,-223
1,6131604,423,-1363,-489,-1496,-297,-42,433,165,-223
1,6131610,423,-1363,-489,-1496,-297,-42,433,165,-223
1,6131617,423,-1363,-489,-1496,-297,-42,433,165,-223
1,6131625,424,-1365,-492,-1490,-294,-38,433,165,-223
1,6131632,424,-1365,-492,-1490,-294,-38,433,165,-223
1,6131639,424,-1365,-492,-1490,-294,-38,433,165,-223
1,6131645,423,-1368,-489,-1495,-301,-34,433,165,-223
1,6131653,423,-1368,-489,-1495,-301,-34,433,165,-223
1,6131661,423,-1368,-489,-1495,-301,-34,433,165,-223
1,6131668,425,-1367,-488,-1492,-301,-40,437,167,-221
1,6131676,425,-1367,-488,-1492,-301,-40,437,167,-221
1,6131684,426,-1366,-493,-1490,-302,-43,437,167,-221
1,6131691,426,-1366,-493,-1490,-302,-43,437,167,-221
1,6131700,426,-1366,-493,-1490,-302,-43,437,167,-221
1,6131709,427,-1363,-495,-1487,-302,-39,437,167,-221
1,6131716,427,-1363,-495,-1487,-302,-39,437,167,-221
1,6131724,427,-1364,-492,-1482,-298,-41,437,167,-221
1,6131733,427,-1364,-492,-1482,-298,-41,437,167,-221
1,6131742,427,-1364,-492,-1482,-298,-41,437,167,-221
1,6131752,423,-1364,-493,-1487,-299,-42,437,167,-221
1,6131762,423,-1364,-493,-1487,-299,-42,437,167,-221
1,6131771,424,-1364,-492,-1487,-298,-36,437,167,-221
1,6131781,424,-1364,-492,-1487,-298,-36,437,167,-221
1,6131789,427,-1364,-490,-1488,-305,-34,437,167,-221
1,6131798,427,-1364,-490,-1488,-305,-34,437,167,-221
1,6131806,421,-1365,-486,-1486,-304,-31,442,166,-230
1,6131814,421,-1365,-486,-1486,-304,-31,442,166,-230
1,6131823,423,-1366,-491,-1488,-306,-36,442,166,-230
1,6131835,423,-1366,-491,-1488,-306,-36,442,166,-230
1,6131848,423,-1362,-496,-1487,-301,-37,442,166,-230
1,6131860,423,-1362,-496,-1487,-301,-37,442,166,-230
1,6131871,423,-1364,-491,-1489,-304,-39,442,166,-230
1,6131885,422,-1366,-491,-1494,-297,-39,442,166,-230
1,6131896,422,-1366,-491,-1494,-297,-39,442,166,-230
1,6131907,425,-1364,-494,-1488,-296,-38,442,166,-230
1,6131920,425,-1364,-494,-1488,-296,-38,442,166,-230
1,6131936,425,-1362,-491,-1481,-301,-42,444,158,-232
1,6131946,428,-1364,-491,-1483,-300,-39,444,158,-232
1,6131960,428,-1364,-491,-1483,-300,-39,444,158,-232
1,6131974,425,-1363,-489,-1487,-302,-40,444,158,-232
1,6131986,422,-1367,-490,-1483,-297,-39,444,158,-232
1,6131998,422,-1367,-490,-1483,-297,-39,444,158,-232
1,6132009,422,-1364,-494,-1482,-297,-42,444,158,-232
1,6132022,422,-1364,-494,-1482,-297,-42,444,158,-232
1,6132035,422,-1366,-489,-1488,-299,-36,444,158,-232
1,6132047,424,-1361,-491,-1487,-298,-35,433,169,-221
1,6132062,424,-1361,-491,-1487,-298,-35,433,169,-221
1,6132074,426,-1364,-490,-1486,-293,-32,433,169,-221
1,6132087,425,-1363,-488,-1481,-293,-31,433,169,-221
