imu,time,ax,ay,az,gx,gy,gz,mx,my,mz
1,18950,-1575,1135,-864,-1503,-306,53,250,368,-152
1,18960,-1579,1131,-864,-1509,-286,33,250,368,-152
1,18966,-1579,1131,-864,-1509,-286,33,250,368,-152
1,18972,-1575,1132,-866,-1499,-292,1,250,368,-152
1,18978,-1575,1132,-866,-1499,-292,1,250,368,-152
1,18985,-1575,1132,-866,-1499,-292,1,250,368,-152
1,18993,-1575,1128,-861,-1513,-292,-1,254,378,-148
1,18999,-1575,1128,-861,-1513,-292,-1,254,378,-148
1,19010,-1575,1128,-861,-1513,-292,-1,254,378,-148
1,19020,-1575,1128,-861,-1486,-288,3,254,378,-148
1,19028,-1575,1128,-861,-1486,-288,3,254,378,-148
1,19039,-1569,1132,-862,-1467,-297,5,254,378,-148
1,19049,-1569,1132,-862,-1467,-297,5,254,378,-148
1,19060,-1568,1132,-864,-1470,-318,8,254,378,-148
1,19069,-1568,1132,-864,-1470,-318,8,254,378,-148
1,19080,-1568,1132,-862,-1478,-319,6,254,378,-148
1,19090,-1568,1132,-862,-1478,-319,6,254,378,-148
1,19100,-1566,1131,-861,-1494,-329,-9,254,378,-148
1,19111,-1565,1136,-852,-1515,-321,-45,252,372,-152
1,19122,-1565,1136,-852,-1515,-321,-45,252,372,-152
1,19137,-1569,1132,-860,-1492,-292,-94,252,372,-152
1,19147,-1569,1132,-860,-1492,-292,-94,252,372,-152
1,19161,-1580,1135,-867,-1450,-290,-103,252,372,-152
1,19174,-1585,1137,-869,-1450,-310,-106,252,372,-152
1,19186,-1585,1137,-869,-1450,-310,-106,252,372,-152
1,19195,-1581,1138,-866,-1499,-349,-86,252,372,-152
1,19209,-1581,1138,-866,-1499,-349,-86,252,372,-152
1,19222,-1577,1130,-863,-1539,-367,-81,252,372,-152
1,19237,-1567,1131,-853,-1538,-367,-69,244,378,-146
1,19248,-1567,1131,-853,-1538,-367,-69,244,378,-146
1,19259,-1565,1127,-856,-1552,-356,-55,244,378,-146
1,19270,-1567,1126,-858,-1545,-342,-72,244,378,-146
1,19279,-1567,1126,-858,-1545,-342,-72,244,378,-146
1,19288,-1567,1126,-858,-1545,-342,-72,244,378,-146
1,19297,-1569,1127,-865,-1513,-317,-118,244,378,-146
1,19305,-1569,1127,-865,-1513,-317,-118,244,378,-146
1,19313,-1568,1129,-857,-1493,-325,-132,244,378,-146
1,19321,-1568,1129,-857,-1493,-325,-132,244,378,-146
1,19330,-1568,1129,-857,-1493,-325,-132,244,378,-146
