server_time;(ax,ay,az);(gx,gy,gz)
2021-07-06T12:16:03.043665;(2272,80,-390);(789,45,919)
2021-07-06T12:16:03.054233;(2272,80,-390);(789,45,919)
2021-07-06T12:16:03.062700;(2257,55,-365);(782,-101,936)
2021-07-06T12:16:03.072007;(2257,55,-365);(782,-101,936)
2021-07-06T12:16:03.078783;(2257,55,-365);(782,-101,936)
2021-07-06T12:16:03.085402;(2251,56,-421);(775,-215,939)
2021-07-06T12:16:03.091580;(2251,56,-421);(775,-215,939)
2021-07-06T12:16:03.098473;(2251,56,-421);(775,-215,939)
2021-07-06T12:16:03.104078;(2244,47,-409);(760,-279,944)
2021-07-06T12:16:03.110281;(2244,47,-409);(760,-279,944)
2021-07-06T12:16:03.116581;(2244,47,-409);(760,-279,944)
2021-07-06T12:16:03.123330;(2232,20,-329);(763,-316,944)
2021-07-06T12:16:03.129352;(2232,20,-329);(763,-316,944)
2021-07-06T12:16:03.136401;(2232,20,-329);(763,-316,944)
2021-07-06T12:16:03.142700;(2244,0,-240);(760,-418,905)
2021-07-06T12:16:03.149446;(2244,0,-240);(760,-418,905)
2021-07-06T12:16:03.155706;(2244,0,-240);(760,-418,905)
2021-07-06T12:16:03.162482;(2196,-29,-359);(760,-544,821)
2021-07-06T12:16:03.168741;(2196,-29,-359);(760,-544,821)
2021-07-06T12:16:03.174750;(2196,-29,-359);(760,-544,821)
2021-07-06T12:16:03.181765;(2199,-28,-340);(742,-584,701)
2021-07-06T12:16:03.188893;(2199,-28,-340);(742,-584,701)
2021-07-06T12:16:03.198203;(2199,-28,-340);(742,-584,701)
2021-07-06T12:16:03.205695;(2213,-20,-334);(731,-601,577)
2021-07-06T12:16:03.214457;(2213,-20,-334);(731,-601,577)
2021-07-06T12:16:03.222128;(2240,-42,-233);(725,-649,450)
2021-07-06T12:16:03.231135;(2240,-42,-233);(725,-649,450)
2021-07-06T12:16:03.239898;(2240,-42,-233);(725,-649,450)
2021-07-06T12:16:03.247616;(2237,-34,-303);(732,-752,349)
2021-07-06T12:16:03.256417;(2237,-34,-303);(732,-752,349)
2021-07-06T12:16:03.265377;(2208,-52,-338);(734,-833,257)
2021-07-06T12:16:03.273744;(2208,-52,-338);(734,-833,257)
2021-07-06T12:16:03.281508;(2222,-50,-312);(724,-873,158)
2021-07-06T12:16:03.289973;(2222,-50,-312);(724,-873,158)
2021-07-06T12:16:03.297764;(2222,-50,-312);(724,-873,158)
2021-07-06T12:16:03.306687;(2223,-69,-283);(712,-962,50)
2021-07-06T12:16:03.314363;(2223,-69,-283);(712,-962,50)
2021-07-06T12:16:03.322910;(2221,-53,-291);(709,-1075,-90)
2021-07-06T12:16:03.330562;(2221,-53,-291);(709,-1075,-90)
2021-07-06T12:16:03.338184;(2221,-53,-291);(709,-1075,-90)
2021-07-06T12:16:03.346392;(2204,-73,-305);(703,-1133,-205)
2021-07-06T12:16:03.354234;(2204,-73,-305);(703,-1133,-205)
2021-07-06T12:16:03.362486;(2233,-73,-316);(698,-1192,-343)
2021-07-06T12:16:03.370269;(2233,-73,-316);(698,-1192,-343)
2021-07-06T12:16:03.378842;(2233,-73,-316);(698,-1192,-343)
2021-07-06T12:16:03.387403;(2239,-56,-316);(688,-1301,-486)
2021-07-06T12:16:03.396302;(2239,-56,-316);(688,-1301,-486)
2021-07-06T12:16:03.405261;(2231,-42,-325);(678,-1387,-576)
2021-07-06T12:16:03.413043;(2231,-42,-325);(678,-1387,-576)
2021-07-06T12:16:03.421110;(2231,-42,-325);(678,-1387,-576)
2021-07-06T12:16:03.430765;(2204,-84,-352);(669,-1451,-666)
2021-07-06T12:16:03.439059;(2204,-84,-352);(669,-1451,-666)
2021-07-06T12:16:03.447201;(2199,-74,-327);(662,-1526,-805)
2021-07-06T12:16:03.455875;(2199,-74,-327);(662,-1526,-805)
2021-07-06T12:16:03.464437;(2233,-45,-366);(645,-1583,-943)
2021-07-06T12:16:03.472356;(2233,-45,-366);(645,-1583,-943)
2021-07-06T12:16:03.480545;(2233,-45,-366);(645,-1583,-943)
2021-07-06T12:16:03.489097;(2246,-18,-367);(646,-1627,-1011)
2021-07-06T12:16:03.497413;(2246,-18,-367);(646,-1627,-1011)
2021-07-06T12:16:03.505706;(2232,-60,-353);(650,-1686,-1059)
2021-07-06T12:16:03.514574;(2232,-60,-353);(650,-1686,-1059)
2021-07-06T12:16:03.523017;(2213,-43,-384);(635,-1724,-1134)
2021-07-06T12:16:03.530791;(2213,-43,-384);(635,-1724,-1134)
2021-07-06T12:16:03.538908;(2213,-43,-384);(635,-1724,-1134)
2021-07-06T12:16:03.547200;(2227,-32,-407);(640,-1727,-1215)
2021-07-06T12:16:03.555029;(2227,-32,-407);(640,-1727,-1215)
2021-07-06T12:16:03.563453;(2242,4,-403);(630,-1722,-1270)
2021-07-06T12:16:03.570994;(2242,4,-403);(630,-1722,-1270)
2021-07-06T12:16:03.579691;(2242,4,-403);(630,-1722,-1270)
2021-07-06T12:16:03.587428;(2235,-16,-402);(638,-1712,-1287)
2021-07-06T12:16:03.597076;(2235,-16,-402);(638,-1712,-1287)
2021-07-06T12:16:03.606660;(2232,-4,-427);(641,-1709,-1306)
2021-07-06T12:16:03.614710;(2232,-4,-427);(641,-1709,-1306)
2021-07-06T12:16:03.622554;(2237,-10,-458);(642,-1698,-1318)
2021-07-06T12:16:03.630951;(2237,-10,-458);(642,-1698,-1318)
2021-07-06T12:16:03.638998;(2237,-10,-458);(642,-1698,-1318)
2021-07-06T12:16:03.646983;(2235,13,-459);(637,-1667,-1328)
2021-07-06T12:16:03.655429;(2235,13,-459);(637,-1667,-1328)
2021-07-06T12:16:03.664756;(2219,8,-481);(640,-1609,-1339)
2021-07-06T12:16:03.673620;(2219,8,-481);(640,-1609,-1339)
2021-07-06T12:16:03.681315;(2219,8,-481);(640,-1609,-1339)
2021-07-06T12:16:03.689073;(2222,25,-493);(656,-1489,-1343)
2021-07-06T12:16:03.698069;(2222,25,-493);(656,-1489,-1343)
2021-07-06T12:16:03.706117;(2248,43,-473);(666,-1385,-1342)
2021-07-06T12:16:03.714154;(2248,43,-473);(666,-1385,-1342)
2021-07-06T12:16:03.722104;(2287,87,-466);(670,-1338,-1295)
2021-07-06T12:16:03.730085;(2287,87,-466);(670,-1338,-1295)
2021-07-06T12:16:03.738336;(2287,87,-466);(670,-1338,-1295)
2021-07-06T12:16:03.745806;(2295,76,-477);(701,-1307,-1180)
2021-07-06T12:16:03.755401;(2295,76,-477);(701,-1307,-1180)
2021-07-06T12:16:03.763371;(2248,49,-465);(719,-1284,-1067)
2021-07-06T12:16:03.771479;(2248,49,-465);(719,-1284,-1067)
2021-07-06T12:16:03.780283;(2248,49,-465);(719,-1284,-1067)
2021-07-06T12:16:03.788559;(2228,26,-477);(730,-1237,-1016)
2021-07-06T12:16:03.798710;(2228,26,-477);(730,-1237,-1016)
2021-07-06T12:16:03.805878;(2225,31,-505);(746,-1157,-995)
2021-07-06T12:16:03.813393;(2225,31,-505);(746,-1157,-995)
2021-07-06T12:16:03.821243;(2225,31,-505);(746,-1157,-995)
2021-07-06T12:16:03.829501;(2265,63,-499);(752,-1070,-958)
2021-07-06T12:16:03.836438;(2265,63,-499);(752,-1070,-958)
2021-07-06T12:16:03.844617;(2283,76,-474);(762,-1013,-887)
2021-07-06T12:16:03.851801;(2283,76,-474);(762,-1013,-887)
2021-07-06T12:16:03.860998;(2283,76,-474);(762,-1013,-887)
2021-07-06T12:16:03.869274;(2261,57,-471);(779,-994,-804)
2021-07-06T12:16:03.878180;(2261,57,-471);(779,-994,-804)
2021-07-06T12:16:03.885441;(2255,46,-486);(799,-980,-736)
2021-07-06T12:16:03.893716;(2255,46,-486);(799,-980,-736)
2021-07-06T12:16:03.900621;(2255,46,-486);(799,-980,-736)
2021-07-06T12:16:03.908119;(2243,49,-492);(807,-968,-698)
2021-07-06T12:16:03.915280;(2243,49,-492);(807,-968,-698)
2021-07-06T12:16:03.924902;(2243,35,-479);(807,-936,-679)
2021-07-06T12:16:03.933118;(2243,35,-479);(807,-936,-679)
2021-07-06T12:16:03.940348;(2243,35,-479);(807,-936,-679)
2021-07-06T12:16:03.947813;(2257,54,-497);(823,-904,-653)
2021-07-06T12:16:03.956387;(2257,54,-497);(823,-904,-653)
2021-07-06T12:16:03.965425;(2267,48,-483);(841,-879,-600)
2021-07-06T12:16:03.974146;(2267,48,-483);(841,-879,-600)
2021-07-06T12:16:03.981936;(2262,54,-483);(847,-856,-546)
2021-07-06T12:16:03.990344;(2262,54,-483);(847,-856,-546)
2021-07-06T12:16:03.999592;(2262,54,-483);(847,-856,-546)
2021-07-06T12:16:04.006698;(2258,35,-475);(864,-841,-515)
2021-07-06T12:16:04.014675;(2258,35,-475);(864,-841,-515)
2021-07-06T12:16:04.022037;(2246,36,-472);(874,-825,-504)
2021-07-06T12:16:04.028117;(2246,36,-472);(874,-825,-504)
2021-07-06T12:16:04.033252;(2246,36,-472);(874,-825,-504)
2021-07-06T12:16:04.039356;(2246,36,-472);(874,-825,-504)
2021-07-06T12:16:04.045726;(2249,18,-479);(880,-813,-493)
2021-07-06T12:16:04.051582;(2249,18,-479);(880,-813,-493)
2021-07-06T12:16:04.057994;(2249,18,-479);(880,-813,-493)
2021-07-06T12:16:04.066997;(2254,28,-479);(874,-827,-498)
2021-07-06T12:16:04.073315;(2254,28,-479);(874,-827,-498)
2021-07-06T12:16:04.080216;(2254,28,-479);(874,-827,-498)
2021-07-06T12:16:04.086020;(2256,19,-485);(885,-852,-494)
2021-07-06T12:16:04.091422;(2256,19,-485);(885,-852,-494)
2021-07-06T12:16:04.096883;(2256,19,-485);(885,-852,-494)
2021-07-06T12:16:04.102003;(2241,13,-489);(893,-869,-505)
2021-07-06T12:16:04.107087;(2241,13,-489);(893,-869,-505)
2021-07-06T12:16:04.113481;(2241,13,-489);(893,-869,-505)
2021-07-06T12:16:04.118542;(2241,13,-489);(893,-869,-505)
2021-07-06T12:16:04.123616;(2227,-1,-483);(892,-858,-529)
2021-07-06T12:16:04.129208;(2227,-1,-483);(892,-858,-529)
2021-07-06T12:16:04.134265;(2227,-1,-483);(892,-858,-529)
2021-07-06T12:16:04.139483;(2229,1,-495);(892,-834,-574)
2021-07-06T12:16:04.144781;(2229,1,-495);(892,-834,-574)
2021-07-06T12:16:04.150684;(2229,1,-495);(892,-834,-574)
2021-07-06T12:16:04.155638;(2229,1,-495);(892,-834,-574)
2021-07-06T12:16:04.160733;(2251,10,-496);(895,-811,-609)
2021-07-06T12:16:04.165904;(2251,10,-496);(895,-811,-609)
2021-07-06T12:16:04.171105;(2251,10,-496);(895,-811,-609)
2021-07-06T12:16:04.176590;(2251,10,-496);(895,-811,-609)
2021-07-06T12:16:04.182667;(2251,9,-486);(893,-820,-627)
2021-07-06T12:16:04.188536;(2251,9,-486);(893,-820,-627)
2021-07-06T12:16:04.193962;(2251,9,-486);(893,-820,-627)
2021-07-06T12:16:04.199904;(2251,9,-486);(893,-820,-627)
2021-07-06T12:16:04.205907;(2248,1,-472);(896,-855,-636)
2021-07-06T12:16:04.212175;(2248,1,-472);(896,-855,-636)
2021-07-06T12:16:04.217307;(2248,1,-472);(896,-855,-636)
2021-07-06T12:16:04.222761;(2228,-16,-478);(904,-864,-654)
2021-07-06T12:16:04.227862;(2228,-16,-478);(904,-864,-654)
2021-07-06T12:16:04.232823;(2228,-16,-478);(904,-864,-654)
2021-07-06T12:16:04.238193;(2228,-16,-478);(904,-864,-654)
2021-07-06T12:16:04.243382;(2226,-19,-480);(911,-850,-707)
2021-07-06T12:16:04.248696;(2226,-19,-480);(911,-850,-707)
2021-07-06T12:16:04.254432;(2226,-19,-480);(911,-850,-707)
2021-07-06T12:16:04.259922;(2251,1,-484);(897,-848,-768)
2021-07-06T12:16:04.264951;(2251,1,-484);(897,-848,-768)
2021-07-06T12:16:04.270015;(2251,1,-484);(897,-848,-768)
2021-07-06T12:16:04.275672;(2251,1,-484);(897,-848,-768)
2021-07-06T12:16:04.280588;(2256,7,-483);(910,-834,-802)
2021-07-06T12:16:04.285999;(2256,7,-483);(910,-834,-802)
2021-07-06T12:16:04.290902;(2256,7,-483);(910,-834,-802)
2021-07-06T12:16:04.295905;(2256,7,-483);(910,-834,-802)
2021-07-06T12:16:04.301358;(2252,7,-470);(911,-846,-819)
2021-07-06T12:16:04.306390;(2252,7,-470);(911,-846,-819)
2021-07-06T12:16:04.312144;(2252,7,-470);(911,-846,-819)
2021-07-06T12:16:04.317536;(2252,7,-470);(911,-846,-819)
2021-07-06T12:16:04.323150;(2244,-11,-472);(911,-862,-842)
2021-07-06T12:16:04.328966;(2244,-11,-472);(911,-862,-842)
2021-07-06T12:16:04.334045;(2244,-11,-472);(911,-862,-842)
2021-07-06T12:16:04.339689;(2244,-11,-472);(911,-862,-842)
2021-07-06T12:16:04.345051;(2238,-12,-469);(913,-864,-883)
2021-07-06T12:16:04.349819;(2238,-12,-469);(913,-864,-883)
2021-07-06T12:16:04.354937;(2238,-12,-469);(913,-864,-883)
2021-07-06T12:16:04.360063;(2245,-4,-481);(913,-851,-931)
2021-07-06T12:16:04.365467;(2245,-4,-481);(913,-851,-931)
2021-07-06T12:16:04.370597;(2245,-4,-481);(913,-851,-931)
2021-07-06T12:16:04.375888;(2245,-4,-481);(913,-851,-931)
2021-07-06T12:16:04.381026;(2247,0,-491);(912,-850,-963)
2021-07-06T12:16:04.386209;(2247,0,-491);(912,-850,-963)
2021-07-06T12:16:04.391923;(2247,0,-491);(912,-850,-963)
2021-07-06T12:16:04.400279;(2247,0,-491);(912,-850,-963)
2021-07-06T12:16:04.408608;(2252,3,-479);(915,-847,-981)
2021-07-06T12:16:04.416011;(2252,3,-479);(915,-847,-981)
2021-07-06T12:16:04.423100;(2252,-8,-486);(921,-852,-996)
2021-07-06T12:16:04.430446;(2252,-8,-486);(921,-852,-996)
2021-07-06T12:16:04.438152;(2252,-8,-486);(921,-852,-996)
2021-07-06T12:16:04.446549;(2248,13,-483);(928,-847,-1033)
2021-07-06T12:16:04.455016;(2248,13,-483);(928,-847,-1033)
2021-07-06T12:16:04.463402;(2246,-3,-484);(931,-841,-1055)
2021-07-06T12:16:04.472839;(2246,-3,-484);(931,-841,-1055)
2021-07-06T12:16:04.480814;(2246,-3,-484);(931,-841,-1055)
2021-07-06T12:16:04.488240;(2245,4,-491);(935,-834,-1074)
2021-07-06T12:16:04.497887;(2245,4,-491);(935,-834,-1074)
2021-07-06T12:16:04.506771;(2246,-3,-505);(943,-821,-1088)
2021-07-06T12:16:04.514235;(2246,-3,-505);(943,-821,-1088)
2021-07-06T12:16:04.523178;(2246,-3,-505);(943,-821,-1088)
2021-07-06T12:16:04.531702;(2250,14,-519);(946,-802,-1106)
2021-07-06T12:16:04.539997;(2250,14,-519);(946,-802,-1106)
2021-07-06T12:16:04.549308;(2245,11,-526);(950,-778,-1124)
2021-07-06T12:16:04.558290;(2245,11,-526);(950,-778,-1124)
2021-07-06T12:16:04.567923;(2236,13,-529);(951,-713,-1123)
2021-07-06T12:16:04.575846;(2236,13,-529);(951,-713,-1123)
2021-07-06T12:16:04.583473;(2250,2,-514);(975,-638,-1120)
2021-07-06T12:16:04.591582;(2250,2,-514);(975,-638,-1120)
2021-07-06T12:16:04.599875;(2250,2,-514);(975,-638,-1120)
2021-07-06T12:16:04.606929;(2254,13,-517);(983,-611,-1130)
2021-07-06T12:16:04.615322;(2254,13,-517);(983,-611,-1130)
2021-07-06T12:16:04.623140;(2251,8,-508);(989,-594,-1139)
2021-07-06T12:16:04.630753;(2251,8,-508);(989,-594,-1139)
2021-07-06T12:16:04.638614;(2251,8,-508);(989,-594,-1139)
2021-07-06T12:16:04.647425;(2259,18,-487);(996,-593,-1140)
2021-07-06T12:16:04.656365;(2259,18,-487);(996,-593,-1140)
2021-07-06T12:16:04.666001;(2262,10,-483);(999,-595,-1144)
2021-07-06T12:16:04.676510;(2262,10,-483);(999,-595,-1144)
2021-07-06T12:16:04.685974;(2261,20,-508);(1002,-612,-1137)
2021-07-06T12:16:04.696310;(2261,20,-508);(1002,-612,-1137)
2021-07-06T12:16:04.708119;(2260,19,-502);(1004,-622,-1136)
2021-07-06T12:16:04.716189;(2260,19,-502);(1004,-622,-1136)
2021-07-06T12:16:04.724227;(2271,35,-514);(1014,-608,-1128)
2021-07-06T12:16:04.734130;(2271,35,-514);(1014,-608,-1128)
2021-07-06T12:16:04.741785;(2271,35,-514);(1014,-608,-1128)
2021-07-06T12:16:04.749200;(2280,36,-497);(1030,-612,-1114)
2021-07-06T12:16:04.758520;(2280,36,-497);(1030,-612,-1114)
2021-07-06T12:16:04.765479;(2274,33,-496);(1037,-606,-1070)
2021-07-06T12:16:04.774459;(2274,33,-496);(1037,-606,-1070)
2021-07-06T12:16:04.782049;(2274,33,-496);(1037,-606,-1070)
2021-07-06T12:16:04.791406;(2265,13,-493);(1055,-600,-1041)
2021-07-06T12:16:04.800529;(2265,13,-493);(1055,-600,-1041)
2021-07-06T12:16:04.808520;(2267,26,-497);(1052,-611,-1027)
2021-07-06T12:16:04.816505;(2267,26,-497);(1052,-611,-1027)
2021-07-06T12:16:04.823509;(2267,26,-497);(1052,-611,-1027)
2021-07-06T12:16:04.831354;(2267,26,-497);(1052,-611,-1027)
2021-07-06T12:16:04.839616;(2267,26,-497);(1052,-611,-1027)
2021-07-06T12:16:04.848507;(2262,20,-510);(1078,-642,-1025)
2021-07-06T12:16:04.857361;(2262,20,-510);(1078,-642,-1025)
2021-07-06T12:16:04.865538;(2262,19,-505);(1081,-642,-1022)
2021-07-06T12:16:04.873950;(2262,19,-505);(1081,-642,-1022)
2021-07-06T12:16:04.881003;(2262,19,-505);(1081,-642,-1022)
2021-07-06T12:16:04.888837;(2266,26,-508);(1085,-634,-1017)
2021-07-06T12:16:04.896139;(2266,26,-508);(1085,-634,-1017)
2021-07-06T12:16:04.903646;(2263,14,-503);(1097,-619,-1010)
2021-07-06T12:16:04.912654;(2263,14,-503);(1097,-619,-1010)
2021-07-06T12:16:04.921435;(2263,14,-503);(1097,-619,-1010)
2021-07-06T12:16:04.930279;(2268,22,-523);(1102,-618,-1017)
2021-07-06T12:16:04.938755;(2268,22,-523);(1102,-618,-1017)
2021-07-06T12:16:04.945690;(2263,12,-528);(1120,-627,-1016)
2021-07-06T12:16:04.953311;(2263,12,-528);(1120,-627,-1016)
2021-07-06T12:16:04.960546;(2263,12,-528);(1120,-627,-1016)
2021-07-06T12:16:04.970724;(2262,19,-523);(1127,-625,-1008)
