imu,server_time,arduino_time,ax,ay,az,gx,gy,gz,mx,my,mz
0,2021-07-08T12:20:03.065370,3507983,-1936,219,-408,-3243,-1635,-133,62,254,-414
0,2021-07-08T12:20:03.075118,3507994,-1936,219,-408,-3243,-1635,-133,62,254,-414
0,2021-07-08T12:20:03.085356,3508003,-1939,229,-405,-3243,-1649,-107,62,254,-414
0,2021-07-08T12:20:03.094944,3508014,-1939,229,-405,-3243,-1649,-107,62,254,-414
0,2021-07-08T12:20:03.110258,3508024,-1945,231,-406,-3254,-1659,-65,53,259,-403
0,2021-07-08T12:20:03.119784,3508039,-1939,244,-406,-3275,-1676,-37,53,259,-403
0,2021-07-08T12:20:03.128127,3508048,-1939,244,-406,-3275,-1676,-37,53,259,-403
0,2021-07-08T12:20:03.137265,3508057,-1939,244,-406,-3275,-1676,-37,53,259,-403
0,2021-07-08T12:20:03.145953,3508066,-1944,240,-407,-3287,-1671,-13,53,259,-403
0,2021-07-08T12:20:03.154680,3508075,-1944,240,-407,-3287,-1671,-13,53,259,-403
0,2021-07-08T12:20:03.164173,3508083,-1947,241,-406,-3302,-1675,-9,53,259,-403
0,2021-07-08T12:20:03.172341,3508092,-1947,241,-406,-3302,-1675,-9,53,259,-403
0,2021-07-08T12:20:03.180401,3508102,-1949,236,-415,-3322,-1681,6,53,259,-403
0,2021-07-08T12:20:03.189873,3508109,-1949,236,-415,-3322,-1681,6,53,259,-403
0,2021-07-08T12:20:03.199234,3508119,-1944,237,-410,-3326,-1691,33,53,259,-403
0,2021-07-08T12:20:03.208921,3508128,-1944,237,-410,-3326,-1691,33,53,259,-403
0,2021-07-08T12:20:03.217064,3508137,-1944,237,-410,-3326,-1691,33,53,259,-403
0,2021-07-08T12:20:03.225259,3508146,-1953,246,-407,-3343,-1710,45,60,260,-402
0,2021-07-08T12:20:03.233602,3508154,-1953,246,-407,-3343,-1710,45,60,260,-402
0,2021-07-08T12:20:03.243789,3508162,-1957,245,-403,-3346,-1738,67,60,260,-402
0,2021-07-08T12:20:03.252502,3508172,-1957,245,-403,-3346,-1738,67,60,260,-402
0,2021-07-08T12:20:03.260251,3508182,-1953,248,-410,-3359,-1743,84,60,260,-402
0,2021-07-08T12:20:03.268073,3508189,-1953,248,-410,-3359,-1743,84,60,260,-402
0,2021-07-08T12:20:03.278744,3508197,-1953,248,-410,-3359,-1743,84,60,260,-402
0,2021-07-08T12:20:03.287700,3508207,-1956,245,-410,-3386,-1756,100,60,260,-402
0,2021-07-08T12:20:03.296760,3508216,-1956,245,-410,-3386,-1756,100,60,260,-402
0,2021-07-08T12:20:03.306878,3508226,-1953,240,-413,-3377,-1752,127,60,260,-402
0,2021-07-08T12:20:03.316828,3508236,-1953,240,-413,-3377,-1752,127,60,260,-402
0,2021-07-08T12:20:03.327408,3508246,-1955,252,-414,-3398,-1760,152,60,260,-402
0,2021-07-08T12:20:03.337640,3508256,-1955,252,-414,-3398,-1760,152,60,260,-402
0,2021-07-08T12:20:03.346318,3508267,-1956,242,-422,-3410,-1777,204,60,260,-402
0,2021-07-08T12:20:03.356582,3508275,-1956,242,-422,-3410,-1777,204,60,260,-402
0,2021-07-08T12:20:03.368161,3508285,-1957,226,-410,-3424,-1803,240,52,250,-394
0,2021-07-08T12:20:03.377842,3508297,-1957,226,-410,-3424,-1803,240,52,250,-394
0,2021-07-08T12:20:03.388567,3508306,-1959,208,-413,-3438,-1818,275,52,250,-394
0,2021-07-08T12:20:03.399001,3508317,-1959,208,-413,-3438,-1818,275,52,250,-394
0,2021-07-08T12:20:03.408213,3508328,-1957,197,-409,-3444,-1827,294,52,250,-394
0,2021-07-08T12:20:03.420182,3508337,-1957,197,-409,-3444,-1827,294,52,250,-394
0,2021-07-08T12:20:03.431476,3508349,-1956,181,-417,-3458,-1824,299,52,250,-394
0,2021-07-08T12:20:03.442563,3508361,-1952,180,-415,-3471,-1819,300,52,250,-394
0,2021-07-08T12:20:03.452682,3508371,-1952,180,-415,-3471,-1819,300,52,250,-394
