imu,server_time,arduino_time,ax,ay,az,gx,gy,gz,mx,my,mz
2,2021-07-08T12:39:56.045154,4701019,-3526,342,1569,-1202,-711,2670,234,296,-58
2,2021-07-08T12:39:56.061010,4701029,-3526,342,1569,-1202,-711,2670,234,296,-58
2,2021-07-08T12:39:56.071766,4701045,-3519,335,1515,-1219,-735,2666,234,296,-58
2,2021-07-08T12:39:56.082498,4701056,-3523,358,1567,-1345,-778,2651,234,296,-58
2,2021-07-08T12:39:56.092176,4701067,-3523,358,1567,-1345,-778,2651,234,296,-58
2,2021-07-08T12:39:56.107359,4701076,-3524,368,1561,-1319,-791,2646,234,296,-58
2,2021-07-08T12:39:56.117951,4701091,-3524,347,1540,-1296,-782,2644,234,296,-58
2,2021-07-08T12:39:56.127471,4701102,-3524,347,1540,-1296,-782,2644,234,296,-58
2,2021-07-08T12:39:56.138588,4701112,-3526,367,1565,-1325,-790,2629,249,287,-65
2,2021-07-08T12:39:56.149595,4701123,-3526,367,1565,-1325,-790,2629,249,287,-65
2,2021-07-08T12:39:56.158188,4701133,-3526,351,1555,-1286,-800,2628,249,287,-65
2,2021-07-08T12:39:56.168309,4701143,-3526,351,1555,-1286,-800,2628,249,287,-65
2,2021-07-08T12:39:56.177307,4701153,-3524,352,1593,-1295,-819,2620,249,287,-65
2,2021-07-08T12:39:56.186452,4701161,-3524,352,1593,-1295,-819,2620,249,287,-65
2,2021-07-08T12:39:56.197011,4701170,-3524,352,1593,-1295,-819,2620,249,287,-65
2,2021-07-08T12:39:56.208472,4701181,-3531,345,1568,-1266,-842,2610,249,287,-65
2,2021-07-08T12:39:56.218114,4701193,-3522,316,1555,-1251,-862,2602,249,287,-65
2,2021-07-08T12:39:56.229338,4701202,-3522,316,1555,-1251,-862,2602,249,287,-65
2,2021-07-08T12:39:56.238164,4701213,-3534,321,1545,-1239,-873,2598,249,287,-65
2,2021-07-08T12:39:56.248050,4701222,-3534,321,1545,-1239,-873,2598,249,287,-65
2,2021-07-08T12:39:56.256794,4701232,-3534,321,1545,-1239,-873,2598,233,297,-61
2,2021-07-08T12:39:56.265282,4701241,-3534,321,1545,-1239,-873,2598,233,297,-61
2,2021-07-08T12:39:56.275126,4701249,-3534,321,1545,-1239,-873,2598,233,297,-61
2,2021-07-08T12:39:56.283483,4701259,-3525,308,1531,-1211,-875,2603,233,297,-61
2,2021-07-08T12:39:56.292148,4701267,-3525,308,1531,-1211,-875,2603,233,297,-61
2,2021-07-08T12:39:56.300447,4701277,-3527,309,1547,-1219,-862,2599,233,297,-61
2,2021-07-08T12:39:56.310150,4701285,-3527,309,1547,-1219,-862,2599,233,297,-61
2,2021-07-08T12:39:56.321202,4701294,-3531,314,1568,-1191,-835,2592,233,297,-61
2,2021-07-08T12:39:56.330149,4701305,-3531,314,1568,-1191,-835,2592,233,297,-61
2,2021-07-08T12:39:56.339222,4701315,-3525,325,1598,-1146,-840,2578,233,297,-61
2,2021-07-08T12:39:56.354047,4701324,-3525,325,1598,-1146,-840,2578,233,297,-61
2,2021-07-08T12:39:56.365393,4701338,-3524,351,1566,-1035,-836,2580,233,297,-61
2,2021-07-08T12:39:56.375227,4701349,-3524,351,1566,-1035,-836,2580,233,297,-61
2,2021-07-08T12:39:56.384366,4701360,-3519,344,1554,-983,-838,2578,230,292,-58
2,2021-07-08T12:39:56.397168,4701369,-3519,344,1554,-983,-838,2578,230,292,-58
2,2021-07-08T12:39:56.406690,4701381,-3525,349,1555,-987,-838,2572,230,292,-58
2,2021-07-08T12:39:56.416127,4701390,-3525,349,1555,-987,-838,2572,230,292,-58
2,2021-07-08T12:39:56.427454,4701401,-3527,348,1515,-974,-844,2565,230,292,-58
2,2021-07-08T12:39:56.436618,4701412,-3521,344,1534,-1049,-841,2562,230,292,-58
2,2021-07-08T12:39:56.448712,4701421,-3521,344,1534,-1049,-841,2562,230,292,-58
2,2021-07-08T12:39:56.459146,4701433,-3524,369,1569,-1069,-838,2558,230,292,-58
2,2021-07-08T12:39:56.468293,4701444,-3524,369,1569,-1069,-838,2558,230,292,-58
2,2021-07-08T12:39:56.477415,4701453,-3528,353,1544,-1024,-839,2553,230,292,-58
2,2021-07-08T12:39:56.488915,4701462,-3528,353,1544,-1024,-839,2553,230,292,-58
2,2021-07-08T12:39:56.499467,4701473,-3524,364,1562,-1036,-835,2535,243,285,-61
2,2021-07-08T12:39:56.508763,4701484,-3524,364,1562,-1036,-835,2535,243,285,-61
2,2021-07-08T12:39:56.517233,4701493,-3526,374,1558,-1022,-835,2528,243,285,-61
2,2021-07-08T12:39:56.527234,4701502,-3526,374,1558,-1022,-835,2528,243,285,-61
2,2021-07-08T12:39:56.542447,4701511,-3519,361,1571,-1011,-844,2526,243,285,-61
2,2021-07-08T12:39:56.552799,4701527,-3519,361,1571,-1011,-844,2526,243,285,-61
2,2021-07-08T12:39:56.562948,4701537,-3529,380,1589,-1003,-893,2510,243,285,-61
2,2021-07-08T12:39:56.572365,4701547,-3529,380,1589,-1003,-893,2510,243,285,-61
2,2021-07-08T12:39:56.583765,4701556,-3527,374,1552,-974,-927,2509,243,285,-61
2,2021-07-08T12:39:56.594746,4701568,-3527,374,1552,-974,-927,2509,243,285,-61
2,2021-07-08T12:39:56.604677,4701579,-3526,380,1541,-974,-939,2500,243,285,-61
2,2021-07-08T12:39:56.614004,4701589,-3526,380,1541,-974,-939,2500,243,285,-61
2,2021-07-08T12:39:56.620609,4701598,-3526,380,1541,-974,-939,2500,230,276,-62
2,2021-07-08T12:39:56.627518,4701604,-3526,380,1541,-974,-939,2500,230,276,-62
2,2021-07-08T12:39:56.634291,4701612,-3520,382,1547,-949,-945,2479,230,276,-62
2,2021-07-08T12:39:56.641146,4701619,-3520,382,1547,-949,-945,2479,230,276,-62
2,2021-07-08T12:39:56.648340,4701625,-3520,382,1547,-949,-945,2479,230,276,-62
2,2021-07-08T12:39:56.654092,4701632,-3523,374,1556,-959,-962,2471,230,276,-62
2,2021-07-08T12:39:56.662198,4701638,-3523,374,1556,-959,-962,2471,230,276,-62
2,2021-07-08T12:39:56.669087,4701646,-3523,374,1556,-959,-962,2471,230,276,-62
2,2021-07-08T12:39:56.676244,4701654,-3525,370,1527,-955,-981,2463,230,276,-62
2,2021-07-08T12:39:56.683536,4701661,-3525,370,1527,-955,-981,2463,230,276,-62
2,2021-07-08T12:39:56.692584,4701668,-3525,370,1527,-955,-981,2463,230,276,-62
2,2021-07-08T12:39:56.699411,4701677,-3527,370,1548,-989,-985,2453,230,276,-62
2,2021-07-08T12:39:56.706590,4701683,-3527,370,1548,-989,-985,2453,230,276,-62
2,2021-07-08T12:39:56.713311,4701690,-3527,370,1548,-989,-985,2453,230,276,-62
2,2021-07-08T12:39:56.724628,4701698,-3537,370,1554,-975,-994,2444,230,276,-62
2,2021-07-08T12:39:56.732729,4701709,-3537,370,1554,-975,-994,2444,230,276,-62
2,2021-07-08T12:39:56.738238,4701717,-3530,341,1536,-951,-1000,2437,230,276,-62
2,2021-07-08T12:39:56.743396,4701722,-3530,341,1536,-951,-1000,2437,230,276,-62
2,2021-07-08T12:39:56.748477,4701727,-3530,341,1536,-951,-1000,2437,230,276,-62
2,2021-07-08T12:39:56.754307,4701732,-3528,319,1535,-946,-1002,2428,238,272,-58
2,2021-07-08T12:39:56.759809,4701739,-3528,319,1535,-946,-1002,2428,238,272,-58
2,2021-07-08T12:39:56.764981,4701744,-3528,319,1535,-946,-1002,2428,238,272,-58
2,2021-07-08T12:39:56.770020,4701749,-3528,319,1535,-946,-1002,2428,238,272,-58
2,2021-07-08T12:39:56.775207,4701754,-3524,304,1537,-933,-988,2430,238,272,-58
2,2021-07-08T12:39:56.783102,4701759,-3524,304,1537,-933,-988,2430,238,272,-58
2,2021-07-08T12:39:56.789178,4701767,-3524,304,1537,-933,-988,2430,238,272,-58
2,2021-07-08T12:39:56.795447,4701773,-3524,295,1549,-891,-973,2421,238,272,-58
2,2021-07-08T12:39:56.800108,4701779,-3524,295,1549,-891,-973,2421,238,272,-58
2,2021-07-08T12:39:56.805755,4701785,-3524,295,1549,-891,-973,2421,238,272,-58
2,2021-07-08T12:39:56.811376,4701790,-3524,295,1549,-891,-973,2421,238,272,-58
2,2021-07-08T12:39:56.817230,4701796,-3525,296,1573,-835,-972,2421,238,272,-58
2,2021-07-08T12:39:56.822202,4701801,-3525,296,1573,-835,-972,2421,238,272,-58
2,2021-07-08T12:39:56.829469,4701806,-3525,296,1573,-835,-972,2421,238,272,-58
2,2021-07-08T12:39:56.837334,4701813,-3532,287,1517,-738,-966,2423,238,272,-58
2,2021-07-08T12:39:56.848446,4701821,-3532,287,1517,-738,-966,2423,238,272,-58
2,2021-07-08T12:39:56.856935,4701833,-3525,285,1528,-761,-971,2423,238,272,-58
2,2021-07-08T12:39:56.866231,4701841,-3525,285,1528,-761,-971,2423,238,272,-58
2,2021-07-08T12:39:56.874528,4701850,-3525,285,1528,-761,-971,2423,238,272,-58
2,2021-07-08T12:39:56.882693,4701858,-3524,295,1521,-747,-964,2410,242,272,-54
2,2021-07-08T12:39:56.891054,4701867,-3524,295,1521,-747,-964,2410,242,272,-54
2,2021-07-08T12:39:56.898570,4701875,-3518,318,1506,-739,-956,2412,242,272,-54
2,2021-07-08T12:39:56.908647,4701883,-3518,318,1506,-739,-956,2412,242,272,-54
2,2021-07-08T12:39:56.916562,4701893,-3525,323,1473,-734,-913,2414,242,272,-54
2,2021-07-08T12:39:56.924515,4701900,-3525,323,1473,-734,-913,2414,242,272,-54
2,2021-07-08T12:39:56.932017,4701908,-3525,323,1473,-734,-913,2414,242,272,-54
2,2021-07-08T12:39:56.941427,4701917,-3516,341,1526,-768,-853,2406,242,272,-54
2,2021-07-08T12:39:56.949116,4701926,-3516,341,1526,-768,-853,2406,242,272,-54
2,2021-07-08T12:39:56.956908,4701933,-3519,335,1546,-754,-827,2398,242,272,-54
2,2021-07-08T12:39:56.964877,4701941,-3519,335,1546,-754,-827,2398,242,272,-54
2,2021-07-08T12:39:56.973395,4701949,-3519,335,1546,-754,-827,2398,242,272,-54
2,2021-07-08T12:39:56.982047,4701958,-3511,344,1521,-731,-836,2399,242,272,-54
2,2021-07-08T12:39:56.989537,4701966,-3511,344,1521,-731,-836,2399,242,272,-54
2,2021-07-08T12:39:56.997496,4701974,-3519,344,1551,-780,-836,2384,248,268,-62
2,2021-07-08T12:39:57.005647,4701982,-3519,344,1551,-780,-836,2384,248,268,-62
2,2021-07-08T12:39:57.014516,4701989,-3519,344,1551,-780,-836,2384,248,268,-62
2,2021-07-08T12:39:57.022856,4701999,-3523,358,1507,-722,-830,2382,248,268,-62
2,2021-07-08T12:39:57.033281,4702007,-3523,358,1507,-722,-830,2382,248,268,-62
2,2021-07-08T12:39:57.040264,4702017,-3524,353,1536,-752,-835,2371,248,268,-62
2,2021-07-08T12:39:57.045636,4702024,-3524,353,1536,-752,-835,2371,248,268,-62
2,2021-07-08T12:39:57.051613,4702029,-3524,353,1536,-752,-835,2371,248,268,-62
2,2021-07-08T12:39:57.057246,4702035,-3523,357,1529,-726,-827,2364,248,268,-62
2,2021-07-08T12:39:57.063594,4702042,-3523,357,1529,-726,-827,2364,248,268,-62
2,2021-07-08T12:39:57.070030,4702048,-3523,357,1529,-726,-827,2364,248,268,-62
2,2021-07-08T12:39:57.076470,4702054,-3520,356,1523,-734,-816,2363,248,268,-62
2,2021-07-08T12:39:57.082335,4702061,-3520,356,1523,-734,-816,2363,248,268,-62
2,2021-07-08T12:39:57.088390,4702066,-3520,356,1523,-734,-816,2363,248,268,-62
2,2021-07-08T12:39:57.095074,4702072,-3516,359,1565,-731,-816,2364,248,268,-62
2,2021-07-08T12:39:57.100652,4702080,-3516,359,1565,-731,-816,2364,248,268,-62
2,2021-07-08T12:39:57.106817,4702085,-3516,359,1565,-731,-816,2364,248,268,-62
2,2021-07-08T12:39:57.112986,4702091,-3516,359,1565,-731,-816,2364,248,268,-62
2,2021-07-08T12:39:57.118615,4702097,-3518,361,1577,-658,-820,2358,260,256,-76
2,2021-07-08T12:39:57.125276,4702103,-3518,361,1577,-658,-820,2358,260,256,-76
2,2021-07-08T12:39:57.131222,4702109,-3518,361,1577,-658,-820,2358,260,256,-76
