imu,server_time,arduino_time,ax,ay,az,gx,gy,gz,mx,my,mz
2,2021-09-03T15:49:09.876350,812255,-3478,2379,-163,1014,-193,-205,-172,220,-282
2,2021-09-03T15:49:09.888610,812266,-3478,2379,-163,1014,-193,-205,-172,220,-282
2,2021-09-03T15:49:09.900788,812278,-3477,2376,-169,1004,-194,-200,-172,220,-282
2,2021-09-03T15:49:09.910171,812291,-3477,2376,-169,1004,-194,-200,-172,220,-282
2,2021-09-03T15:49:09.920070,812300,-3481,2375,-170,1000,-195,-203,-164,218,-288
2,2021-09-03T15:49:09.931437,812309,-3481,2375,-170,1000,-195,-203,-164,218,-288
2,2021-09-03T15:49:09.940991,812321,-3480,2379,-178,1001,-196,-207,-164,218,-288
2,2021-09-03T15:49:09.949139,812331,-3480,2379,-178,1001,-196,-207,-164,218,-288
2,2021-09-03T15:49:09.957639,812339,-3483,2383,-188,997,-195,-210,-164,218,-288
2,2021-09-03T15:49:09.967916,812347,-3483,2383,-188,997,-195,-210,-164,218,-288
2,2021-09-03T15:49:09.975568,812357,-3482,2382,-188,997,-196,-211,-164,218,-288
2,2021-09-03T15:49:09.983819,812365,-3482,2382,-188,997,-196,-211,-164,218,-288
2,2021-09-03T15:49:09.993391,812374,-3482,2382,-188,997,-196,-211,-164,218,-288
2,2021-09-03T15:49:10.004226,812383,-3482,2381,-199,989,-188,-199,-164,218,-288
2,2021-09-03T15:49:10.013229,812394,-3484,2383,-202,984,-200,-202,-164,218,-288
2,2021-09-03T15:49:10.023390,812403,-3484,2383,-202,984,-200,-202,-164,218,-288
2,2021-09-03T15:49:10.032115,812412,-3484,2383,-202,984,-200,-202,-164,218,-288
2,2021-09-03T15:49:10.042290,812422,-3483,2386,-210,978,-193,-200,-174,208,-300
2,2021-09-03T15:49:10.052427,812432,-3483,2386,-210,978,-193,-200,-174,208,-300
2,2021-09-03T15:49:10.062113,812442,-3485,2386,-210,975,-195,-204,-174,208,-300
2,2021-09-03T15:49:10.070488,812451,-3485,2386,-210,975,-195,-204,-174,208,-300
2,2021-09-03T15:49:10.078725,812460,-3482,2386,-209,969,-199,-204,-174,208,-300
2,2021-09-03T15:49:10.087051,812468,-3482,2386,-209,969,-199,-204,-174,208,-300
2,2021-09-03T15:49:10.095728,812477,-3482,2387,-213,942,-198,-198,-174,208,-300
2,2021-09-03T15:49:10.104344,812485,-3482,2387,-213,942,-198,-198,-174,208,-300
2,2021-09-03T15:49:10.113168,812493,-3483,2393,-221,919,-201,-197,-174,208,-300
2,2021-09-03T15:49:10.121862,812503,-3483,2393,-221,919,-201,-197,-174,208,-300
2,2021-09-03T15:49:10.131280,812512,-3483,2393,-221,919,-201,-197,-174,208,-300
2,2021-09-03T15:49:10.139154,812521,-3485,2390,-218,896,-201,-195,-174,208,-300
2,2021-09-03T15:49:10.148519,812528,-3485,2390,-218,896,-201,-195,-174,208,-300
2,2021-09-03T15:49:10.156899,812538,-3494,2387,-246,882,-202,-195,-169,211,-305
2,2021-09-03T15:49:10.165047,812547,-3494,2387,-246,882,-202,-195,-169,211,-305
2,2021-09-03T15:49:10.174502,812555,-3490,2388,-250,876,-193,-196,-169,211,-305
2,2021-09-03T15:49:10.182612,812564,-3490,2388,-250,876,-193,-196,-169,211,-305
2,2021-09-03T15:49:10.190674,812572,-3490,2388,-250,876,-193,-196,-169,211,-305
2,2021-09-03T15:49:10.199184,812580,-3488,2396,-254,875,-191,-192,-169,211,-305
2,2021-09-03T15:49:10.207530,812589,-3488,2396,-254,875,-191,-192,-169,211,-305
2,2021-09-03T15:49:10.216987,812597,-3489,2395,-268,866,-190,-191,-169,211,-305
2,2021-09-03T15:49:10.226045,812607,-3489,2395,-268,866,-190,-191,-169,211,-305
2,2021-09-03T15:49:10.234627,812615,-3493,2393,-264,860,-186,-181,-169,211,-305
2,2021-09-03T15:49:10.242327,812624,-3493,2393,-264,860,-186,-181,-169,211,-305
2,2021-09-03T15:49:10.251564,812632,-3493,2393,-264,860,-186,-181,-169,211,-305
2,2021-09-03T15:49:10.261481,812641,-3492,2394,-268,851,-196,-187,-169,211,-305
2,2021-09-03T15:49:10.271186,812651,-3492,2394,-268,851,-196,-187,-169,211,-305
2,2021-09-03T15:49:10.279792,812660,-3486,2394,-269,831,-193,-180,-161,209,-303
2,2021-09-03T15:49:10.288666,812669,-3486,2394,-269,831,-193,-180,-161,209,-303
2,2021-09-03T15:49:10.296745,812678,-3489,2392,-278,825,-200,-179,-161,209,-303
2,2021-09-03T15:49:10.306437,812686,-3489,2392,-278,825,-200,-179,-161,209,-303
2,2021-09-03T15:49:10.314725,812696,-3489,2392,-278,825,-200,-179,-161,209,-303
2,2021-09-03T15:49:10.323145,812704,-3489,2392,-278,825,-200,-179,-161,209,-303
2,2021-09-03T15:49:10.331718,812712,-3489,2392,-278,825,-200,-179,-161,209,-303
2,2021-09-03T15:49:10.340387,812722,-3497,2396,-293,791,-206,-183,-161,209,-303
2,2021-09-03T15:49:10.349720,812730,-3497,2396,-293,791,-206,-183,-161,209,-303
2,2021-09-03T15:49:10.358555,812739,-3492,2399,-295,785,-207,-182,-161,209,-303
2,2021-09-03T15:49:10.367767,812748,-3492,2399,-295,785,-207,-182,-161,209,-303
2,2021-09-03T15:49:10.378131,812758,-3493,2402,-302,777,-207,-186,-161,209,-303
2,2021-09-03T15:49:10.387494,812768,-3493,2402,-302,777,-207,-186,-161,209,-303
2,2021-09-03T15:49:10.397109,812777,-3499,2401,-307,766,-203,-178,-161,209,-303
2,2021-09-03T15:49:10.405361,812786,-3499,2401,-307,766,-203,-178,-161,209,-303
2,2021-09-03T15:49:10.415951,812794,-3494,2403,-306,758,-199,-176,-172,226,-310
2,2021-09-03T15:49:10.423300,812806,-3494,2403,-306,758,-199,-176,-172,226,-310
2,2021-09-03T15:49:10.433001,812813,-3494,2403,-306,758,-199,-176,-172,226,-310
2,2021-09-03T15:49:10.442409,812822,-3492,2399,-313,753,-197,-177,-172,226,-310
2,2021-09-03T15:49:10.452325,812832,-3492,2399,-313,753,-197,-177,-172,226,-310
2,2021-09-03T15:49:10.461247,812841,-3491,2400,-320,731,-206,-174,-172,226,-310
2,2021-09-03T15:49:10.469830,812851,-3491,2400,-320,731,-206,-174,-172,226,-310
2,2021-09-03T15:49:10.480010,812859,-3491,2400,-320,731,-206,-174,-172,226,-310
2,2021-09-03T15:49:10.490068,812869,-3491,2400,-320,731,-206,-174,-172,226,-310
2,2021-09-03T15:49:10.498033,812879,-3500,2403,-336,686,-204,-176,-172,226,-310
2,2021-09-03T15:49:10.505519,812888,-3500,2403,-336,686,-204,-176,-172,226,-310
2,2021-09-03T15:49:10.513876,812895,-3498,2402,-338,682,-202,-169,-172,226,-310
