imu,server_time,arduino_time,ax,ay,az,gx,gy,gz,mx,my,mz
2,2021-09-03T16:03:17.034550,1659451,-3292,403,1604,-1184,1246,2712,37,223,19
2,2021-09-03T16:03:17.047184,1659460,-3292,403,1604,-1184,1246,2712,37,223,19
2,2021-09-03T16:03:17.058262,1659472,-3294,401,1584,-1215,1247,2702,37,223,19
2,2021-09-03T16:03:17.072465,1659484,-3294,401,1584,-1215,1247,2702,37,223,19
2,2021-09-03T16:03:17.083437,1659498,-3267,406,1602,-1246,1250,2694,37,223,19
2,2021-09-03T16:03:17.092747,1659509,-3265,404,1614,-1264,1232,2677,37,215,11
2,2021-09-03T16:03:17.100881,1659518,-3265,404,1614,-1264,1232,2677,37,215,11
2,2021-09-03T16:03:17.110555,1659527,-3265,404,1614,-1264,1232,2677,37,215,11
2,2021-09-03T16:03:17.119480,1659536,-3275,409,1611,-1272,1215,2659,37,215,11
2,2021-09-03T16:03:17.128109,1659545,-3275,409,1611,-1272,1215,2659,37,215,11
2,2021-09-03T16:03:17.136087,1659553,-3275,398,1623,-1273,1184,2658,37,215,11
2,2021-09-03T16:03:17.144602,1659561,-3275,398,1623,-1273,1184,2658,37,215,11
2,2021-09-03T16:03:17.152723,1659571,-3269,398,1640,-1297,1165,2635,37,215,11
2,2021-09-03T16:03:17.161124,1659579,-3269,398,1640,-1297,1165,2635,37,215,11
2,2021-09-03T16:03:17.169292,1659587,-3247,396,1646,-1335,1131,2624,37,215,11
2,2021-09-03T16:03:17.177936,1659595,-3247,396,1646,-1335,1131,2624,37,215,11
2,2021-09-03T16:03:17.187803,1659603,-3247,396,1646,-1335,1131,2624,37,215,11
2,2021-09-03T16:03:17.196615,1659614,-3252,408,1641,-1363,1086,2610,37,215,11
2,2021-09-03T16:03:17.203864,1659622,-3252,408,1641,-1363,1086,2610,37,215,11
2,2021-09-03T16:03:17.212542,1659630,-3260,408,1636,-1372,1040,2591,37,227,13
2,2021-09-03T16:03:17.221804,1659638,-3260,408,1636,-1372,1040,2591,37,227,13
2,2021-09-03T16:03:17.229942,1659648,-3256,408,1625,-1379,990,2580,37,227,13
2,2021-09-03T16:03:17.238077,1659656,-3256,408,1625,-1379,990,2580,37,227,13
2,2021-09-03T16:03:17.247424,1659664,-3256,408,1625,-1379,990,2580,37,227,13
2,2021-09-03T16:03:17.255554,1659673,-3250,401,1631,-1383,934,2565,37,227,13
2,2021-09-03T16:03:17.264990,1659681,-3250,401,1631,-1383,934,2565,37,227,13
2,2021-09-03T16:03:17.275399,1659691,-3251,404,1630,-1389,892,2558,37,227,13
2,2021-09-03T16:03:17.284015,1659701,-3251,404,1630,-1389,892,2558,37,227,13
2,2021-09-03T16:03:17.293233,1659710,-3260,404,1657,-1394,844,2545,37,227,13
2,2021-09-03T16:03:17.301336,1659719,-3260,404,1657,-1394,844,2545,37,227,13
2,2021-09-03T16:03:17.309256,1659727,-3246,400,1673,-1407,783,2533,37,227,13
2,2021-09-03T16:03:17.318274,1659735,-3246,400,1673,-1407,783,2533,37,227,13
2,2021-09-03T16:03:17.326430,1659744,-3246,400,1673,-1407,783,2533,37,227,13
2,2021-09-03T16:03:17.335667,1659752,-3243,406,1654,-1410,695,2517,44,224,14
2,2021-09-03T16:03:17.343896,1659761,-3243,406,1654,-1410,695,2517,44,224,14
2,2021-09-03T16:03:17.352736,1659769,-3249,404,1620,-1416,622,2511,44,224,14
2,2021-09-03T16:03:17.361504,1659779,-3249,404,1620,-1416,622,2511,44,224,14
2,2021-09-03T16:03:17.368930,1659787,-3265,404,1624,-1416,578,2501,44,224,14
2,2021-09-03T16:03:17.377641,1659795,-3265,404,1624,-1416,578,2501,44,224,14
2,2021-09-03T16:03:17.386422,1659803,-3265,404,1624,-1416,578,2501,44,224,14
2,2021-09-03T16:03:17.396267,1659812,-3255,409,1629,-1416,531,2481,44,224,14
2,2021-09-03T16:03:17.407049,1659822,-3255,409,1629,-1416,531,2481,44,224,14
2,2021-09-03T16:03:17.415058,1659833,-3257,402,1629,-1411,465,2474,44,224,14
2,2021-09-03T16:03:17.424658,1659841,-3257,402,1629,-1411,465,2474,44,224,14
2,2021-09-03T16:03:17.433923,1659850,-3254,404,1592,-1408,414,2469,44,224,14
2,2021-09-03T16:03:17.442694,1659859,-3254,404,1592,-1408,414,2469,44,224,14
2,2021-09-03T16:03:17.451282,1659869,-3264,404,1575,-1405,384,2441,44,224,14
2,2021-09-03T16:03:17.463101,1659877,-3264,404,1575,-1405,384,2441,44,224,14
2,2021-09-03T16:03:17.473491,1659889,-3277,399,1567,-1408,379,2435,47,221,9
2,2021-09-03T16:03:17.484696,1659899,-3277,399,1567,-1408,379,2435,47,221,9
2,2021-09-03T16:03:17.493898,1659911,-3269,401,1580,-1402,371,2425,47,221,9
2,2021-09-03T16:03:17.504569,1659920,-3269,401,1580,-1402,371,2425,47,221,9
2,2021-09-03T16:03:17.513870,1659930,-3245,395,1597,-1401,357,2420,47,221,9
2,2021-09-03T16:03:17.523990,1659939,-3245,395,1597,-1401,357,2420,47,221,9
2,2021-09-03T16:03:17.531830,1659950,-3244,404,1581,-1389,314,2401,47,221,9
2,2021-09-03T16:03:17.540696,1659958,-3244,404,1581,-1389,314,2401,47,221,9
2,2021-09-03T16:03:17.549050,1659966,-3244,404,1581,-1389,314,2401,47,221,9
2,2021-09-03T16:03:17.557941,1659975,-3257,404,1565,-1366,285,2391,47,221,9
2,2021-09-03T16:03:17.571085,1659983,-3257,404,1565,-1366,285,2391,47,221,9
2,2021-09-03T16:03:17.579944,1659997,-3262,407,1581,-1347,265,2371,47,221,9
2,2021-09-03T16:03:17.589719,1660006,-3262,407,1581,-1347,265,2371,47,221,9
2,2021-09-03T16:03:17.599031,1660015,-3238,400,1603,-1324,241,2363,56,224,4
2,2021-09-03T16:03:17.606967,1660024,-3238,400,1603,-1324,241,2363,56,224,4
2,2021-09-03T16:03:17.614871,1660033,-3235,405,1595,-1307,202,2360,56,224,4
2,2021-09-03T16:03:17.626204,1660041,-3235,405,1595,-1307,202,2360,56,224,4
2,2021-09-03T16:03:17.634997,1660052,-3233,394,1575,-1298,167,2345,56,224,4
2,2021-09-03T16:03:17.642940,1660060,-3233,394,1575,-1298,167,2345,56,224,4
2,2021-09-03T16:03:17.651853,1660068,-3246,403,1582,-1289,143,2334,56,224,4
2,2021-09-03T16:03:17.660253,1660078,-3246,403,1582,-1289,143,2334,56,224,4
2,2021-09-03T16:03:17.669210,1660086,-3246,403,1582,-1289,143,2334,56,224,4
2,2021-09-03T16:03:17.681440,1660095,-3236,397,1572,-1274,108,2322,56,224,4
2,2021-09-03T16:03:17.692241,1660107,-3236,397,1572,-1274,108,2322,56,224,4
2,2021-09-03T16:03:17.701395,1660118,-3233,401,1582,-1270,75,2311,56,224,4
2,2021-09-03T16:03:17.710051,1660127,-3233,401,1582,-1270,75,2311,56,224,4
2,2021-09-03T16:03:17.717860,1660136,-3219,393,1587,-1247,43,2303,56,230,-2
2,2021-09-03T16:03:17.726314,1660144,-3219,393,1587,-1247,43,2303,56,230,-2
2,2021-09-03T16:03:17.734277,1660152,-3239,404,1582,-1230,3,2291,56,230,-2
2,2021-09-03T16:03:17.741802,1660160,-3239,404,1582,-1230,3,2291,56,230,-2
2,2021-09-03T16:03:17.750480,1660168,-3230,396,1565,-1208,-23,2276,56,230,-2
2,2021-09-03T16:03:17.758315,1660176,-3230,396,1565,-1208,-23,2276,56,230,-2
2,2021-09-03T16:03:17.767724,1660184,-3230,396,1565,-1208,-23,2276,56,230,-2
2,2021-09-03T16:03:17.778846,1660193,-3236,405,1574,-1195,-49,2260,56,230,-2
2,2021-09-03T16:03:17.786787,1660205,-3236,405,1574,-1195,-49,2260,56,230,-2
2,2021-09-03T16:03:17.796289,1660213,-3222,394,1583,-1195,-77,2244,56,230,-2
2,2021-09-03T16:03:17.805000,1660222,-3222,394,1583,-1195,-77,2244,56,230,-2
2,2021-09-03T16:03:17.813897,1660231,-3235,403,1576,-1179,-112,2231,56,230,-2
2,2021-09-03T16:03:17.823694,1660239,-3235,403,1576,-1179,-112,2231,56,230,-2
2,2021-09-03T16:03:17.831640,1660250,-3230,393,1560,-1169,-134,2227,60,224,-12
2,2021-09-03T16:03:17.839802,1660258,-3230,393,1560,-1169,-134,2227,60,224,-12
2,2021-09-03T16:03:17.850486,1660265,-3230,393,1560,-1169,-134,2227,60,224,-12
2,2021-09-03T16:03:17.859971,1660276,-3235,398,1564,-1166,-148,2209,60,224,-12
2,2021-09-03T16:03:17.868507,1660285,-3235,398,1564,-1166,-148,2209,60,224,-12
2,2021-09-03T16:03:17.876644,1660295,-3218,395,1572,-1157,-183,2195,60,224,-12
2,2021-09-03T16:03:17.883677,1660302,-3218,395,1572,-1157,-183,2195,60,224,-12
2,2021-09-03T16:03:17.892820,1660309,-3227,399,1562,-1152,-210,2192,60,224,-12
2,2021-09-03T16:03:17.902461,1660318,-3227,399,1562,-1152,-210,2192,60,224,-12
2,2021-09-03T16:03:17.912311,1660328,-3226,398,1548,-1135,-230,2179,60,224,-12
2,2021-09-03T16:03:17.921331,1660338,-3226,398,1548,-1135,-230,2179,60,224,-12
2,2021-09-03T16:03:17.929792,1660347,-3226,398,1548,-1135,-230,2179,60,224,-12
2,2021-09-03T16:03:17.938747,1660355,-3226,403,1552,-1127,-247,2160,60,224,-12
2,2021-09-03T16:03:17.948040,1660364,-3226,403,1552,-1127,-247,2160,60,224,-12
2,2021-09-03T16:03:17.956774,1660374,-3214,400,1569,-1110,-267,2157,58,226,0
2,2021-09-03T16:03:17.965483,1660383,-3214,400,1569,-1110,-267,2157,58,226,0
2,2021-09-03T16:03:17.974507,1660391,-3213,398,1556,-1100,-295,2143,58,226,0
2,2021-09-03T16:03:17.982654,1660400,-3213,398,1556,-1100,-295,2143,58,226,0
2,2021-09-03T16:03:17.991623,1660408,-3226,401,1537,-1084,-319,2125,58,226,0
2,2021-09-03T16:03:17.999087,1660418,-3226,401,1537,-1084,-319,2125,58,226,0
2,2021-09-03T16:03:18.007381,1660425,-3226,401,1537,-1084,-319,2125,58,226,0
2,2021-09-03T16:03:18.016441,1660433,-3224,394,1551,-1065,-334,2118,58,226,0
2,2021-09-03T16:03:18.026337,1660442,-3224,394,1551,-1065,-334,2118,58,226,0
2,2021-09-03T16:03:18.035105,1660452,-3220,405,1557,-1055,-351,2107,58,226,0
2,2021-09-03T16:03:18.044047,1660461,-3220,405,1557,-1055,-351,2107,58,226,0
2,2021-09-03T16:03:18.052508,1660470,-3213,396,1554,-1039,-380,2101,58,226,0
2,2021-09-03T16:03:18.062142,1660478,-3213,396,1554,-1039,-380,2101,58,226,0
