imu,server_time,arduino_time,ax,ay,az,gx,gy,gz,mx,my,mz
0,2021-09-03T16:29:52.694097,3255179,22,2102,316,-1658,-590,591,101,265,-225
0,2021-09-03T16:29:52.710148,3255188,22,2102,316,-1658,-590,591,101,265,-225
0,2021-09-03T16:29:52.721236,3255204,30,2104,323,-1648,-579,606,101,265,-225
0,2021-09-03T16:29:52.736925,3255216,33,2098,328,-1636,-584,613,101,265,-225
0,2021-09-03T16:29:52.745685,3255231,36,2099,330,-1627,-586,604,101,265,-225
0,2021-09-03T16:29:52.755249,3255240,36,2099,330,-1627,-586,604,101,265,-225
0,2021-09-03T16:29:52.764227,3255249,36,2099,330,-1627,-586,604,101,265,-225
0,2021-09-03T16:29:52.773521,3255259,37,2102,335,-1615,-590,616,101,265,-225
0,2021-09-03T16:29:52.781583,3255268,37,2102,335,-1615,-590,616,101,265,-225
0,2021-09-03T16:29:52.790670,3255275,52,2095,339,-1599,-584,643,101,265,-211
0,2021-09-03T16:29:52.799598,3255284,52,2095,339,-1599,-584,643,101,265,-211
0,2021-09-03T16:29:52.809053,3255293,53,2095,346,-1572,-579,652,101,265,-211
0,2021-09-03T16:29:52.819691,3255303,53,2095,346,-1572,-579,652,101,265,-211
0,2021-09-03T16:29:52.828756,3255314,54,2094,346,-1558,-573,650,101,265,-211
0,2021-09-03T16:29:52.837908,3255323,54,2094,346,-1558,-573,650,101,265,-211
0,2021-09-03T16:29:52.847020,3255332,60,2095,347,-1542,-568,641,101,265,-211
0,2021-09-03T16:29:52.859549,3255341,60,2095,347,-1542,-568,641,101,265,-211
0,2021-09-03T16:29:52.869397,3255354,66,2097,346,-1525,-567,648,101,265,-211
0,2021-09-03T16:29:52.877764,3255363,66,2097,346,-1525,-567,648,101,265,-211
0,2021-09-03T16:29:52.886510,3255371,80,2091,350,-1506,-567,672,101,265,-211
0,2021-09-03T16:29:52.894785,3255380,80,2091,350,-1506,-567,672,101,265,-211
0,2021-09-03T16:29:52.904719,3255389,80,2091,350,-1506,-567,672,101,265,-211
0,2021-09-03T16:29:52.912322,3255399,77,2092,349,-1491,-565,694,104,266,-224
0,2021-09-03T16:29:52.921817,3255406,77,2092,349,-1491,-565,694,104,266,-224
0,2021-09-03T16:29:52.932025,3255415,81,2099,362,-1463,-562,693,104,266,-224
0,2021-09-03T16:29:52.939675,3255427,81,2099,362,-1463,-562,693,104,266,-224
0,2021-09-03T16:29:52.948078,3255434,93,2097,361,-1417,-560,688,104,266,-224
0,2021-09-03T16:29:52.956274,3255442,93,2097,361,-1417,-560,688,104,266,-224
0,2021-09-03T16:29:52.964222,3255450,93,2097,361,-1417,-560,688,104,266,-224
0,2021-09-03T16:29:52.971686,3255458,92,2089,356,-1385,-557,679,104,266,-224
0,2021-09-03T16:29:52.980007,3255465,92,2089,356,-1385,-557,679,104,266,-224
0,2021-09-03T16:29:52.990352,3255474,103,2088,357,-1353,-557,666,104,266,-224
0,2021-09-03T16:29:53.000133,3255484,103,2088,357,-1353,-557,666,104,266,-224
0,2021-09-03T16:29:53.009105,3255494,101,2095,361,-1325,-558,655,104,266,-224
0,2021-09-03T16:29:53.017154,3255503,101,2095,361,-1325,-558,655,104,266,-224
0,2021-09-03T16:29:53.025946,3255512,104,2097,362,-1287,-546,660,104,266,-224
0,2021-09-03T16:29:53.036672,3255520,104,2097,362,-1287,-546,660,104,266,-224
0,2021-09-03T16:29:53.045399,3255531,116,2094,369,-1231,-542,671,104,266,-224
0,2021-09-03T16:29:53.053048,3255539,116,2094,369,-1231,-542,671,108,258,-206
0,2021-09-03T16:29:53.061344,3255547,116,2094,369,-1231,-542,671,108,258,-206
0,2021-09-03T16:29:53.070788,3255556,118,2086,364,-1194,-544,665,108,258,-206
